candidateId,state,county,institutionName,healthSystem,opportunityTitle,opportunityType,specialty,officialSourceUrl,applicationUrl,sourcePageType,targetFit,targetFitReason,eligibility,imgEligibility,studentGraduateEligibility,visaLanguage,cost,duration,deadline,contactEmail,coordinatorNameIfPublic,evidenceSnippet,evidenceUrl,searchTermsThatFoundIt,duplicateCheckResult,existingListingMatch,confidence,candidateStatus,reviewerNotes,foundAt
ME-001,ME,Cumberland,Maine Medical Center (MMC),MaineHealth,Visiting Medical Student Electives,Elective,multispecialty,https://www.mainehealth.org/maine-medical-center/education-research/undergraduate-medical-education/visiting-medical-student-electives-mainehealth-maine-medical-center,https://meded.mainehealth.org/meded/MedStudentApp/electives.aspx/,EXACT_OFFICIAL_PROGRAM_PAGE,TARGET_USCE_MATCH,"MMC accepts visiting MS via VSLO with multi-specialty electives. Housing available (request, not guaranteed).",Senior medical students in good standing; LCME-accredited (per VSLO standards); preference per specialty,Likely LCME-only via VSLO; IMG status unclear from public page,medical_student_visiting,Not explicit; J1 mentioned for residency,See specialty pages,4 weeks per specialty,Per-specialty cohorts,UME_MedEd@mainehealth.org,,"VSLO-only path; multiple specialties (EM, GenSurg, IR, Anesthesia)",https://www.mainehealth.org/maine-medical-center/education-research/undergraduate-medical-education/visiting-medical-student-electives-mainehealth-maine-medical-center,site:mainehealth.org observership visiting medical student IMG elective,none,,HIGH,APPROVED_FOR_HUMAN_REVIEW,Strong canonical visiting MS page; verify IMG eligibility before public listing.,2026-05-02T05:00:06.504Z
ME-002,ME,Kennebec,Togus VA Medical Center,VHA,Togus VA Affiliated Medical Education,Elective,multispecialty,https://www.va.gov/maine-health-care/locations/togus-va-medical-center/,,OFFICIAL_DEPARTMENT_PAGE_WITH_USCE_TEXT,MAYBE_TARGET_MANUAL_REVIEW,Togus VA hosts MS/resident/fellow rotations through MMC + EMMC + UNECOM affiliations.,Affiliation-routed; no direct application,Not direct; via MMC/EMMC/UNECOM,medical_student_or_resident,None on VA page,See affiliated programs,Variable,,,,VA-affiliated rotations announced on VA Maine page,https://www.va.gov/maine-health-care/locations/togus-va-medical-center/,site:va.gov Togus Maine VA observership visiting medical student IMG elective,none,,MEDIUM,NEEDS_MANUAL_REVIEW,VA-affiliated path; not a standalone listing — likely subsumed under MMC/EMMC.,2026-05-02T05:00:06.504Z
ME-003,ME,Androscoggin,Central Maine Medical Center / Central Maine Healthcare,Central Maine Healthcare,Elective Clerkships (US/Canadian/International MS),Clerkship,multispecialty,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,https://www.cmhc.org/health-professionals/residency-programs-and-fellowship/medical-students/,EXACT_OFFICIAL_PROGRAM_PAGE,TARGET_USCE_MATCH,"CMHC explicitly accepts US, Canadian, and international medical school students for clerkships at Lewiston. NO observerships/externships/research/pre-match.",3rd/4th-year MS at home medical school,International medical students explicitly accepted,medical_student_only,Not on official page,Clerkship fees unspecified,3rd/4th-year clerkship blocks,,,,Clinical Experience Agreement + Letter of Good Standing + immunizations + TB + liability + background check required,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,"site:cmhc.org ""Central Maine"" Lewiston observership visiting medical student IMG",none,,HIGH,APPROVED_FOR_HUMAN_REVIEW,Clerkship-only path explicitly open to international MS; verify before public listing as USCE.,2026-05-02T05:00:06.504Z
ME-004,ME,Cumberland,Maine Medical Center / General Surgery,MaineHealth,General Surgery Acting Internship + Senior Electives,Sub-internship,general_surgery,https://www.mainehealth.org/maine-medical-center/education-research/students-residents-fellows/residencies/general-surgery/rotations-electives,,EXACT_OFFICIAL_PROGRAM_PAGE,MAYBE_TARGET_MANUAL_REVIEW,MMC Gen Surg AI for 4th-year MS at AAMC-accredited US schools; 8-week 3rd-yr block + 4-wk AI; q4 call.,4th-year MS at AAMC-accredited US medical school,LCME/AAMC US-only; IMG not explicit,medical_student_4thyr,Not stated,Free,3rd yr 8wk; AI 4wk,,val.parziale@mainehealth.org,Val Parziale,AI open to any student in AAMC-accredited US medical school,https://www.mainehealth.org/maine-medical-center/education-research/students-residents-fellows/residencies/general-surgery/rotations-electives,direct fetch,none,,HIGH,APPROVED_FOR_HUMAN_REVIEW,US-only path; verify IMG before public listing.,2026-05-02T05:12:14.204Z
ME-005,ME,Cumberland,Maine Medical Center / Emergency Medicine,MaineHealth,EM Medical Student Elective,Elective,emergency_medicine,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/emergency-medicine-residency/medical-student-elective-emergency-medicine-residency,,EXACT_OFFICIAL_PROGRAM_PAGE,MAYBE_TARGET_MANUAL_REVIEW,MMC EM elective for senior MS in good standing; preference for EM-bound; full month required.,"Senior MS, good academic standing, preference EM-bound",Not explicit; LCME via VSLO standard,medical_student_4thyr,Not stated,Housing at student expense,"1 month, no partial",,UME_MedEd@mmc.org / kcmurphy@mmc.org,Kim Murphy,VSLO + supplemental application,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/emergency-medicine-residency/medical-student-elective-emergency-medicine-residency,direct fetch,none,,HIGH,APPROVED_FOR_HUMAN_REVIEW,Standard US visiting MS path.,2026-05-02T05:12:14.204Z
ME-006,ME,Cumberland,Maine Medical Center / Anesthesiology,MaineHealth,Anesthesiology Medical Student Elective,Elective,anesthesiology,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/anesthesiology-residency/medical-student-elective,,EXACT_OFFICIAL_PROGRAM_PAGE,MAYBE_TARGET_MANUAL_REVIEW,4-wk anesthesia elective for AAMC/AACOM 4th-yr MS; cap 2/month.,4th-yr MS approved by AAMC + AACOM,LCME/AOA US-only,medical_student_4thyr,Not stated,Not stated,4 wks,,laurie.kent@mainehealth.org,Laurie Kent,VSLO + supplemental,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/anesthesiology-residency/medical-student-elective,direct fetch,none,,HIGH,APPROVED_FOR_HUMAN_REVIEW,US-only.,2026-05-02T05:12:14.204Z
ME-007,ME,Cumberland,Maine Medical Center / Interventional Radiology,MaineHealth,IR Medical Student Elective,Elective,interventional_radiology,https://www.mainehealth.org/Maine-Medical-Center/Education-Research/Students-Residents-Fellows/Residencies/Interventional-Radiology/Medical-Student-Elective,,EXACT_OFFICIAL_PROGRAM_PAGE,MAYBE_TARGET_MANUAL_REVIEW,IR elective: 3rd-yr 2wk / 4th-yr 4wk; LCME or AOACOA students; preference for IR/MMC ties.,3rd or 4th-yr LCME/AOACOA student,LCME/AOACOA US-only,medical_student,Not stated,Not stated,2-4 wks,,kimberly.murphy@mainehealth.org,Kimberly Murphy,Direct dept application,https://www.mainehealth.org/Maine-Medical-Center/Education-Research/Students-Residents-Fellows/Residencies/Interventional-Radiology/Medical-Student-Elective,direct fetch,none,,HIGH,APPROVED_FOR_HUMAN_REVIEW,US-only.,2026-05-02T05:12:14.204Z
ME-008,ME,Cumberland,Maine Medical Center / Family Medicine,MaineHealth,FM Acting Internship + Ambulatory + Sports Med Electives,Elective,family_medicine,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/family-medicine-residency/medical-student-rotations,,EXACT_OFFICIAL_PROGRAM_PAGE,MAYBE_TARGET_MANUAL_REVIEW,FM AI year-round; ambulatory + sports med electives; homelessness elective Tufts-only.,4th-yr MS,LCME via VSLO; international not explicit,medical_student_4thyr,Not stated,Not stated,1 month,,,,VSLO/VSAS,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/family-medicine-residency/medical-student-rotations,direct fetch,none,,HIGH,APPROVED_FOR_HUMAN_REVIEW,Multiple FM electives; AI = sub-I.,2026-05-02T05:12:14.204Z
ME-009,ME,Cumberland,Maine Medical Center / Pediatrics (Barbara Bush Children Hospital),MaineHealth,Pediatrics Acting Internships + Electives,Elective,pediatrics,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/pediatrics-residency,,OFFICIAL_DEPARTMENT_PAGE_WITH_USCE_TEXT,TARGET_USCE_MATCH,Peds primary teaching site for Tufts Maine Track + UNECOM + visiting students nationwide for 4th-yr AI/electives.,Visiting students nationwide,Not explicit; nationwide implies broad,medical_student,Not stated,Not stated,Variable,,Zachary.Wildes@mainehealth.org,Zachary Wildes,Direct contact,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/pediatrics-residency,direct fetch,none,,MEDIUM,APPROVED_FOR_HUMAN_REVIEW,Most permissive MMC specialty page; verify IMG eligibility.,2026-05-02T05:12:14.204Z
ME-010,ME,Cumberland,Maine Medical Center / Psychiatry,MaineHealth,Psychiatry Medical Student Electives,Elective,psychiatry,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/general-psychiatry-residency/medical-student-electives-general-psychiatry-residency,,EXACT_OFFICIAL_PROGRAM_PAGE,MAYBE_TARGET_MANUAL_REVIEW,MMC Psychiatry medical-student-electives sub-page exists.,MS,Not on parent page; check sub-page,medical_student,,,,,,Mary Liberty / 207-662-2733,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/general-psychiatry-residency/medical-student-electives-general-psychiatry-residency,indirect navigation,none,,MEDIUM,NEEDS_MANUAL_REVIEW,Sub-page found via parent navigation; need separate fetch.,2026-05-02T05:12:14.204Z
