source_id,source_name,source_family,source_url,raw_storage_allowed,internal_analysis_allowed,public_raw_display_allowed,public_derived_display_allowed,commercial_license_needed,attribution_required,external_review_required_before_publication,automation_allowed,terms_last_reviewed_at,caveats,product_rule
cms_nppes,NPPES National Provider Identifier Registry,CMS,https://download.cms.gov/nppes/NPI_Files.html,true,true,false,true,false,false,false,true,2026-05-03,Organization (Type-2) records only. No individual provider (Type-1) data. Identity and location evidence only — NOT credential or license verification. NUCC taxonomy codes embedded in NPPES require separate commercial license for taxonomy definitions/descriptions.,NPPES data surfaces institution identity and address signals only. Never display as credential verification. Taxonomy code-set definitions require NUCC commercial license before display.
cms_hospital_general,CMS Hospital General Information,CMS,https://data.cms.gov/provider-data/dataset/xubh-q36u,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. No individual provider data. Teaching hospital flag and ratings are derived signals.,Derived hospital attributes (teaching status, star rating, CCN) may appear in product with 'Source: CMS Hospital Compare' attribution.
cms_ipps,CMS IPPS Impact File,CMS,https://www.cms.gov/medicare/payment/prospective-payment-systems/acute-inpatient-pps/fy-2025-ipps-proposed-rule-home-page,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. IME ratio and FTE counts are the derived signals used.,Derived teaching intensity signals (IME ratio, FTE) may appear in product with CMS attribution.
cms_pos,CMS Provider of Services,CMS,https://data.cms.gov/provider-characteristics/hospitals-and-other-facilities/provider-of-services-file-hospital-non-hospital-facilities,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. Facility-level data only.,Derived facility attributes may appear in product with CMS attribution.
cms_open_payments,CMS Open Payments PGYR2024,CMS,https://openpaymentsdata.cms.gov/,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. Research payment signals are an academic strength proxy only.,Derived research payment rankings may appear with 'Source: CMS Open Payments' attribution.
hrsa_hpsa,HRSA Health Professional Shortage Area (HPSA),HRSA,https://data.hrsa.gov/topics/health-workforce/shortage-areas,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. HPSA designation is geographic (ZIP/county). Use as J-1 waiver / Conrad 30 eligibility signal.,HPSA designation may appear in product as J-1 waiver eligibility signal with 'Source: HRSA HPSA' attribution.
hrsa_mua,HRSA Medically Underserved Area (MUA),HRSA,https://data.hrsa.gov/topics/health-workforce/shortage-areas,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. Geographic designation only.,Derived MUA signals may appear with HRSA attribution.
hrsa_ahrf,HRSA Area Health Resources File (AHRF),HRSA,https://data.hrsa.gov/topics/health-workforce/ahrf,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. County-level workforce aggregates.,Derived county workforce metrics may appear with HRSA AHRF attribution.
hrsa_nhsc,HRSA National Health Service Corps (NHSC),HRSA,https://nhsc.hrsa.gov/,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. Pipeline and field strength aggregates.,Derived NHSC statistics may appear with HRSA attribution.
hrsa_thcgme,HRSA Teaching Health Center GME (THCGME),HRSA,https://bhw.hrsa.gov/funding/apply-grant/teaching-health-centers-graduate-medical-education,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. Awardee list is public record. FQHC GME programs — IMG-friendly primary care signal.,THCGME awardee status may appear in product as FQHC GME / underserved signal with HRSA attribution.
nih_reporter,NIH RePORTER FY2024,NIH,https://reporter.nih.gov/,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. Institution-level research funding aggregate. Not grant-specific exposure.,Derived NIH funding rank/tier may appear in product with 'Source: NIH RePORTER FY2024' attribution.
