session_rank,queue_4_rank,institution_name,city,state,candidate_type,why_first_session,source_lead,expected_artifacts,stop_condition,notes
1,1,Providence Alaska Medical Center,Anchorage,AK,STATE_GAP_FILL,P0 zero-coverage state — AK; visible coverage hole,providence.org/locations/ak/providence-alaska-medical-center,HTML+screenshot+Wayback+verbatim quote OR documented "no visiting MS program",If no visiting-MS lane exists publicly stop with KEEP_INTERNAL,Largest hospital in Alaska
2,2,Alaska Native Medical Center,Anchorage,AK,STATE_GAP_FILL,P0 zero-coverage state — AK; second AK lane,anmc.org,HTML+screenshot OR no-program note,Tribal jurisdiction may close to outside MS,
3,3,Saint Alphonsus Regional Medical Center,Boise,ID,STATE_GAP_FILL,P0 zero-coverage state — ID,saintalphonsus.org,HTML+screenshot+Wayback+quote OR no-program note,If Trinity Health affiliate has no MS lane stop with KEEP_INTERNAL,Trinity Health affiliate
4,5,Billings Clinic,Billings,MT,STATE_GAP_FILL,P0 zero-coverage state — MT,billingsclinic.com,HTML+screenshot+Wayback+quote OR no-program note,Likely community-only,Largest MT health system
5,7,Wyoming Medical Center,Casper,WY,STATE_GAP_FILL,P0 zero-coverage state — WY,wyomingmedicalcenter.org,HTML+screenshot OR no-program note,Likely no visiting-MS program,
6,17,Oregon Health and Science University Hospital,Portland,OR,STATE_GAP_FILL_THIN,P0 thin-coverage state — OR; OHSU has documented visiting-student program,ohsu.edu/school-of-medicine/visiting-medical-students,HTML+screenshot+Wayback+verbatim quote,If only US LCME/AOA stop with US-only audience,Strong AMC; high yield expected
7,22,University of Utah Hospital,Salt Lake City,UT,STATE_GAP_FILL_THIN,P0 thin-coverage state — UT; U-Utah SOM affiliate,medicine.utah.edu/students/visiting-students,HTML+screenshot+Wayback+verbatim quote,If only US LCME/AOA stop with US-only audience,
8,23,UCHealth University of Colorado Hospital,Aurora,CO,STATE_GAP_FILL_THIN,P0 thin-coverage state — CO; CU SOM affiliate,medschool.cuanschutz.edu/student-affairs/visiting-students,HTML+screenshot+Wayback+verbatim quote,If only US LCME/AOA stop with US-only audience,
9,24,Denver Health Medical Center,Denver,CO,STATE_GAP_FILL_THIN_PUBLIC,P0 thin-coverage state — CO; public safety-net,denverhealth.org,HTML+screenshot+Wayback+quote OR no-program note,If no visiting-MS lane stop with KEEP_INTERNAL,IMG-relevant likely
10,31,UCSF Medical Center,San Francisco,CA,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — top tier-1 AMC missing,medschool.ucsf.edu/visiting-students,HTML+screenshot+Wayback+verbatim quote,If only US LCME/AOA stop with US-only audience,Brand-vs-source mismatch risk LOW because UCSF SOM operates the lane
