sprint_number,sprint_name,goal,expected_output,why_it_advances_main_goal,what_not_to_do,success_metric,stop_condition
1,P97-PROMOTION-BATCH-3-CURATOR-PASS,Run a curator pass on the 25 READY_FOR_HUMAN_APPROVAL rows already on T7 (Yale / Mayo Saint Marys / CCF Main / NYP Columbia + Cornell / Johns Hopkins / Mount Sinai / Duke / Northwestern / Penn / NYU Langone Tisch / Mayo Phoenix + Jacksonville / Westchester / Methodist TX / Newark Beth Israel / Saint Barnabas / BronxCare / Englewood / Carilion / Grady / IU Methodist / ChristianaCare / Jackson Memorial / HCA Florida Aventura / additional Q2 Tier-1A),A bridge-input DRAFT containing 5-15 of the 25 rows promoted to NEEDS_HUMAN_COPY_REVIEW with caveat stacks,Largest possible coverage growth from existing screened-and-verified data; FAR cheaper than net-new screening,Do not screen anything new; do not modify validators; do not promote to runtime in this sprint,A second bridge DRAFT exists with 5+ approved-with-carveout rows beyond UPMC + Lincoln,If fewer than 5 rows pass the curator pass — re-evaluate carveout policy
2,P97-PROMOTION-BATCH-3-EVIDENCE-LANDING,Land Tier-A+ evidence (HTML snapshot + Wayback + PNG + verbatim quote) for the 5-15 rows from Sprint 1,Per-row evidence files under docs/platform-v2/local/usce-completeness/promotion-batch-3-evidence/,Mirrors the Batch 3 evidence-hardening pattern that worked for UPMC + Lincoln,Do not modify any active runtime / route / UI; do not bypass bot defenses,All approved rows have Tier-A+ evidence,Any row that cannot achieve Tier-A+ within 2 attempts → route to KEEP_INTERNAL_FRAMEWORK_ONLY
3,P97-PROMOTION-BATCH-3-BRIDGE-VALIDATION,Run validate-p99-p97-bridge-input.ts against the Sprint-1 DRAFT; correct enum vocabulary as needed,Bridge-validated DRAFT (status VALIDATED_BRIDGE_INPUT for all included rows),Closes the bridge gate before runtime prep,Do not weaken the validator; do not remove caveats; do not edit shared validator scripts,Validator PASS with 0 errors,Any row that fails after enum-only correction → split into next sprint
4,P97-PROMOTION-BATCH-3-RUNTIME-CANDIDATE,Build a 12-20 card candidate runtime JSON (5 active + 2 staged Batch 2 + 5-15 new) under docs/ only; run validate-p99-runtime-prep-candidate.ts,New candidate runtime JSON; runtime-prep-candidate validator PASS,Sets up the runtime expansion without touching active 5-card file,Do not import staged into app code; do not deploy; do not change /clerkships/pilot,Candidate JSON validates,If candidate fails — fix audit issue; do not relax validator
5,P97-PROMOTION-BATCH-3-STAGED-DATA-ONLY,Create a NEW staged data file public-listings-pilot-staged-batch-3.generated.{json,ts} (NOT replacing batch-2),12-20 card staged file under src/data/ but NOT imported by app,Doubles the staged-but-not-public coverage; protects active runtime,Do not import staged-batch-3 into app routes; do not modify staged-batch-2,Staged validator PASS for batch-3,
6,P97-CONTACT-REF-PREFILL-AND-HIDDEN-CONTEXT-1,Wire /contact/page.tsx to read searchParams.ref + searchParams.listing_id; submit through /api/usce/corrections (env-flag gated),/contact UI parses listing_id; resolves B-001/B-002/B-003,Activates the correction loop for the staged set,Do not change the staged file; do not deploy production; do not remove env-flag gate,B-001/B-002/B-003 audited as resolved by validate-p99-report-issue-mapping post-update,If contact-page rewrite is too invasive — split into sub-sprints
7,P97-CORRECTION-INTAKE-RATE-LIMIT-1,Add server-side rate limit + Turnstile (or equivalent) to /api/usce/corrections,Rate-limit + spam guard layer,Closes B-006 before any contact-form submission goes live,No Turnstile production keys committed; env-flag still default-off,Synthetic abuse test rejected by rate limiter,
8,P97-QUEUE-4-SCREENING-SESSION-1,Screen the first 30-40 of the 100 Queue 4 candidate rows (state-gap fills + zero-coverage states first),30-40 rows added to a new high_yield_review_master_queue_4.csv with sourceProofScore + yieldClass per row,Begins net-new coverage growth — fills the 4 zero-coverage states + thin-coverage states,Do not promote any Queue 4 row to staged in this sprint; do not modify validators; one institution at a time,30+ rows screened with 80%+ sourceProofScore≥4,Stop after 4 hours of screening regardless of remaining rows
9,P97-QUEUE-4-SCREENING-SESSION-2,Screen the second 30-40 Queue 4 rows (AMC gaps + public-hospital safety-net),Additional 30-40 rows in workbench,Continues net-new coverage,Same constraints as Sprint 8,Total 60-80 Queue 4 rows screened,Same time-cap rule
10,P97-NATIONAL-SCREENING-SCOREBOARD-AND-QUEUE-5,Re-run this scoreboard sprint with updated counts; build Queue 5 if coverage gaps remain,Updated scoreboard + Queue 5 candidate file,Forces another strategic checkpoint after 9 substantive sprints,Same hard rules,Updated scoreboard shows: ≥10 active runtime cards OR ≥30 staged runtime cards OR documented honest reason for the gap,
