audit_item,status,evidence,release_blocker,notes
EXACTLY_5_CARDS_IN_RUNTIME_JSON,PASS,grep -c '"listing_id"' src/data/usce/public-listings-pilot.generated.json = 5; QA sprint c4343df also verified 5 institution-name occurrences in rendered HTML,NO,Same 5 since runtime generation
MORRISTOWN_PRESENT,PASS,listing_id pilot-075-NJ-morristown-medical-center,NO,
OVERLOOK_PRESENT,PASS,listing_id pilot-076-NJ-overlook-medical-center,NO,
CCF_MERCY_PRESENT,PASS,listing_id pilot-091-OH-cleveland-clinic-mercy-hospital,NO,
CC_HILLCREST_PRESENT,PASS,listing_id pilot-149-OH-cleveland-clinic-hillcrest-hospital,NO,
HIGHLAND_PRESENT,PASS,listing_id pilot-162-CA-highland-hospital-alameda-health-system,NO,
MAYO_MANKATO_ABSENT,PASS,grep -c Mankato runtime/rendered HTML = 0,NO,
MAYO_EAU_CLAIRE_ABSENT,PASS,grep -c 'Eau Claire' runtime/rendered HTML = 0,NO,
BERGEN_ABSENT,PASS,grep -c 'Bergen New Bridge' runtime/rendered HTML = 0,NO,
SAINT_ELIZABETHS_ABSENT,PASS,grep -c 'Saint Elizabeths' runtime/rendered HTML = 0,NO,
HEMET_ABSENT,PASS,grep -c 'Hemet Global' runtime/rendered HTML = 0,NO,
TJUH_ABSENT,PASS,grep -c 'Thomas Jefferson University Hospital' runtime/rendered HTML = 0,NO,
MANATEE_ABSENT,PASS,grep -c Manatee runtime/rendered HTML = 0,NO,
UH_SAN_ANTONIO_ABSENT,PASS,grep -c 'San Antonio' runtime/rendered HTML = 0,NO,
UPMC_WESTERN_PSYCHIATRIC_ABSENT,PASS,grep -c 'UPMC Western Psychiatric' runtime/rendered HTML = 0,NO,
LINCOLN_MEDICAL_ABSENT,PASS,grep -c 'Lincoln Medical' runtime/rendered HTML = 0,NO,
NO_RAW_P97_FIELDS_IN_RUNTIME,PASS,Runtime card allow-list of 20 fields enforced by validate-micro-pilot-runtime.ts; grep on rendered HTML returns 0 for all forbidden field names,NO,Validator-enforced
NO_SCREENSHOT_PATHS_IN_RUNTIME,PASS,screenshot_path is in FORBIDDEN_RUNTIME_KEYS_EXACT validator set; not present in JSON or rendered HTML,NO,
NO_REVIEWER_NOTES_IN_RUNTIME,PASS,reviewer_notes not present in JSON or rendered HTML,NO,
NO_MUST_NOT_CLAIM_IN_RUNTIME,PASS,must_not_claim not present in JSON or rendered HTML; this is enforced internally only and stripped at generation,NO,
NO_NOT_ALLOWED_ACTIONS_IN_RUNTIME,PASS,not_allowed_actions not present in JSON or rendered HTML,NO,
NO_ARCHIVE_URL_IN_RUNTIME,PASS,archive_url is in FORBIDDEN_RUNTIME_KEYS_EXACT — kept as audit-only at this stage; not on the wire,NO,May surface in a future audit panel; out of scope for micro-pilot
NO_BRIDGE_ROW_ID_IN_RUNTIME,PASS,bridge_row_id absent from runtime card; only used internally as input,NO,
NO_IMPORT_READY_STATUS,PASS,No card has IMPORT_READY status; display_bucket is READY_PUBLIC_IMG_RELEVANT or READY_PUBLIC_US_STUDENT_ONLY only,NO,
NO_PUBLIC_NOW_STATUS,PASS,No PUBLIC_NOW status anywhere in runtime,NO,
NO_INDEXED_PUBLISHED_LIVE_STATUS,PASS,No indexed/published/live status field in runtime card; route remains noindex,NO,
NO_FORBIDDEN_RUNTIME_SUBSTRINGS,PASS,Validator scans for npi/ccn/cms/nppes/aamc/nrmp/acgme/nucc/completeness_score/max_possible_score/identity_status — all 0 occurrences,NO,
RUNTIME_FILE_PATH_CORRECT,PASS,src/data/usce/public-listings-pilot.generated.json present and parseable,NO,
RUNTIME_TS_FILE_PATH_CORRECT,PASS,src/data/usce/public-listings-pilot.generated.ts present and exports PILOT_USCE_CARDS,NO,
PILOT_WRAPPER_RUNTIME_GUARD,PASS,src/lib/usce-pilot-data.ts throws if non-public bucket detected; same guard pattern as Maine wrapper,NO,
