row_id,institution_name,status_before,html_status,archive_status,png_status,quote_status,evidence_tier_after,bridge_status_after,runtime_blocker_remaining,recommended_next_action,notes
promo3-06-FL-jackson-memorial-hospital,Jackson Memorial Hospital,APPROVED_WITH_PUBLIC_COPY_CARVEOUT (DRAFT),HTML_PRESENT,ARCHIVE_PRIOR_VERIFIED,PNG_LANDED,QUOTE_LANDED,TIER_A_PLUS,VALIDATED_BRIDGE_INPUT,Contact UI wiring (B-001/B-002/B-003);no rate-limit (B-006),Move to staged runtime in P99-P97-STAGED-RUNTIME-BATCH-3-DATA-ONLY,Promoted from NEEDS_HUMAN_COPY_REVIEW
promo3-09-NC-duke-university-hospital,Duke University Hospital,APPROVED_WITH_PUBLIC_COPY_CARVEOUT (DRAFT),HTML_PRESENT,ARCHIVE_PRIOR_VERIFIED,PNG_LANDED,QUOTE_LANDED,TIER_A_PLUS,VALIDATED_BRIDGE_INPUT,Contact UI wiring;no rate-limit,Move to staged runtime,
promo3-10-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,APPROVED_WITH_PUBLIC_COPY_CARVEOUT (DRAFT),HTML_PRESENT,ARCHIVE_PRIOR_VERIFIED,PNG_LANDED,QUOTE_LANDED,TIER_A_PLUS,VALIDATED_BRIDGE_INPUT,Contact UI wiring;no rate-limit,Move to staged runtime,
promo3-11-PA-hospital-of-the-university-of-pennsylvania,Hospital of the University of Pennsylvania,APPROVED_WITH_PUBLIC_COPY_CARVEOUT (DRAFT),HTML_PRESENT,ARCHIVE_PRIOR_VERIFIED,PNG_LANDED,QUOTE_LANDED,TIER_A_PLUS,VALIDATED_BRIDGE_INPUT,Contact UI wiring;no rate-limit,Move to staged runtime,
promo3-12-NY-nyu-langone-health-tisch-hospital,NYU Langone Health - Tisch Hospital,APPROVED_WITH_PUBLIC_COPY_CARVEOUT (DRAFT),HTML_PRESENT,ARCHIVE_PRIOR_VERIFIED,PNG_LANDED,QUOTE_LANDED,TIER_A_PLUS,VALIDATED_BRIDGE_INPUT,Contact UI wiring;no rate-limit,Move to staged runtime,
promo3-17-TX-methodist-hospital-san-antonio,Methodist Hospital (San Antonio),APPROVED_WITH_PUBLIC_COPY_CARVEOUT (DRAFT),HTML_PRESENT,ARCHIVE_PRIOR_VERIFIED,PNG_LANDED,QUOTE_LANDED,TIER_A_PLUS,VALIDATED_BRIDGE_INPUT,Contact UI wiring;no rate-limit,Move to staged runtime,
promo3-25-IN-indiana-university-health-methodist-hospital,Indiana University Health Methodist Hospital,APPROVED_WITH_PUBLIC_COPY_CARVEOUT (DRAFT),HTML_PRESENT,ARCHIVE_PRIOR_VERIFIED,PNG_LANDED,QUOTE_LANDED,TIER_A_PLUS,VALIDATED_BRIDGE_INPUT,Contact UI wiring;no rate-limit,Move to staged runtime,
promo3-08-NY-mount-sinai-hospital,Mount Sinai Hospital,NEEDS_EVIDENCE_HARDENING,HTML_VIA_WAYBACK,ARCHIVE_PRIOR_VERIFIED,PNG_LANDED,QUOTE_LANDED,TIER_A_PLUS,APPROVED_WITH_PUBLIC_COPY_CARVEOUT (DRAFT-eligible),Curator decision to add to Promotion Batch 3 DRAFT,Add to bridge DRAFT in P97-PROMOTION-BATCH-3-CURATOR-PASS-2 OR include in next staged runtime,Live page bot-defense; Wayback path used; URL slug confirms LCME-only audience
promo3-02-MN-mayo-clinic-hospital-saint-marys,Mayo Clinic Hospital - Saint Marys Campus,NEEDS_EVIDENCE_HARDENING (Class A),HTML_VIA_WAYBACK,ARCHIVE_PRIOR_VERIFIED,PNG_LANDED,QUOTE_LANDED_PARTIAL,TIER_A_NO_PNG (per-site mapping issue),NEEDS_SOURCE_SCOPE_REVIEW,Curator decision on Mayo per-site mapping (one URL for 3 Mayo sites; broad-INTL claim verified at SYSTEM level but site-specific assignment unclear),P97-PROMOTION-BATCH-3-CLASS-A-CURATOR-PASS,Mayo system uses one shared URL for Saint Marys + Phoenix + Jacksonville
promo3-04-NY-nyp-columbia,NewYork-Presbyterian Hospital - Columbia University Medical Center,NEEDS_EVIDENCE_HARDENING (Class A),HTML_PRESENT,ARCHIVE_NOT_ATTEMPTED_SOURCE_BLOCKED,PNG_LANDED,QUOTE_LANDED_PARTIAL,TIER_A_NO_ARCHIVE,NEEDS_EVIDENCE_HARDENING (Wayback retry),Wayback save next sprint + curator copy review,P97-PROMOTION-BATCH-3-CLASS-A-CURATOR-PASS,'International Visiting Students' + 'Visiting Student Fees' sections confirmed on page
promo3-05-NY-nyp-weill-cornell,NewYork-Presbyterian Hospital - Weill Cornell Medical Center,NEEDS_EVIDENCE_HARDENING (Class A),HTML_PRESENT,ARCHIVE_NOT_ATTEMPTED_SOURCE_BLOCKED,PNG_LANDED,QUOTE_LANDED_PARTIAL,TIER_A_NO_ARCHIVE,NEEDS_EVIDENCE_HARDENING (Wayback retry),Wayback save + curator copy review,P97-PROMOTION-BATCH-3-CLASS-A-CURATOR-PASS,Site is dedicated to international visiting students — strong INTL signal
promo3-14-AZ-mayo-clinic-hospital-phoenix,Mayo Clinic Hospital - Phoenix,NEEDS_EVIDENCE_HARDENING (Class A),HTML_VIA_WAYBACK,ARCHIVE_PRIOR_VERIFIED,PNG_LANDED,QUOTE_LANDED_PARTIAL,TIER_A_NO_PNG (per-site mapping issue),NEEDS_SOURCE_SCOPE_REVIEW,Same Mayo per-site mapping decision as Saint Marys,P97-PROMOTION-BATCH-3-CLASS-A-CURATOR-PASS,
