gap,current_status,impact,queue_4_response,rows_targeted,notes
ACTIVE_NOINDEX_COUNT_STILL_TINY,10 cards in active runtime,Visible product surface limited to 10 institutions across 8 states,Queue 4 funnels new validated rows that can become Slice 3+ activations once they pass evidence + audit,All 100 Queue-4 rows feed this funnel,Cumulative growth target: 10 → 20 within 5 sprints
VALIDATED_BRIDGE_ROWS_LIMITED,9 validated bridge inputs to date (UPMC + Lincoln + 7 batch-3),Funnel narrows sharply downstream of screening; only ~3% of source-proofed rows reach validated,Queue 4 Session 1 should yield 12-15 of 25 rows as bridge candidates within 2 follow-up sprints,Session 1 25 rows + Session 2 25 rows = potential ~25 new validated rows,Mirrors Q1-Q3 yield rates of ~60-70%
REGIONAL_OVERCONCENTRATION,Active 10 cards span 8 states (NJ OH CA NC NY IN PA IL); concentrated in NE + Midwest,Coverage hole for Mountain West / Pacific NW / Deep South / Northern Plains,Session 1 explicitly adds AK ID MT WY OR UT CO TN MO MI WA + reaches into FL TX,11 P0 state-gap rows + several thin-state targets,
BROAD_IMG_EVIDENCE_LIMITED,Active 10 cards: 3 IMG-relevant (CCF Mercy + Hillcrest + UPMC) + 7 US-only,IMG-friendly card density on the noindex preview is low for IMG students,Bias toward known IMG-relevant safety nets — Bellevue NYC H+H / Cook County / Parkland / LAC+USC / ZSFG / Boston Medical Center,5 P0 public-safety-net + ~5 P1 public-safety-net,Verify audience explicitly per source — no inference
CAMPUS_APPLICABILITY_RISK,System-level SOM sources (HUP / Northwestern / Jackson / Methodist SA / Mayo system) carry brand-vs-source mismatch risk,Public copy could overpromise a campus-specific rotation,Continue using SYSTEM_PAGE_SOURCE_NO_<SITE>_SPECIFIC_GUARANTEE caveat in restriction_tags + fit_warnings + campus_name; defer activation if mismatch is too sharp,All system-level rows in Queue 4,Same discipline as Slices 1-2
EVIDENCE_HARDENING_BOTTLENECK,Class-A NYP Columbia / Cornell / Mount Sinai / Mayo Saint Marys / Mayo Phoenix / HCA Aventura still NEEDS_EVIDENCE_HARDENING from prior sprint,Promising rows blocked at the per-site mapping or Wayback-archive step,Queue 4 should NOT re-screen these — separate evidence-hardening sprint can re-attempt with Wayback retry,Out of Queue 4 scope but flagged here,Specifically: Mayo system (one URL for 3 Mayo sites) + Wayback retry for NYP columbia/cornell + HCA Aventura reclassification
PUBLIC_COPY_RISK,Validated cards must show audience caveats verbatim from source,Without caveats public copy could overpromise eligibility,Each Queue-4 row's stop_condition explicitly requires verbatim audience quote,All 100 rows,Honor the do-not-claim list per row
CORRECTION_REPORT_PATH_NOT_LIVE,/contact UI parses listing_id but POST endpoint returns 404 by default (env-flag disabled),Live correction submission requires env flag flip + rate-limit + larger QA,No Queue-4 row activation depends on the env flag in noindex; flag flip is its own decision,N_A,Endpoint behavior intentional for noindex slices
PRODUCTION_PUBLIC_STILL_0,Production main 739ab1e2 has 0 published USCE cards,Intentional — broader platform should not expose USCE until USCE is excellent,Queue 4 does not change production,N_A,Project doctrine
QUEUE_4_DUPLICATION_RISK_AGAINST_ACTIVE_OR_STAGED,5 batch-3 rows already activated (Duke / NYU Tisch / IU Methodist / HUP / Northwestern); 2 deferred (Jackson / Methodist San Antonio),Queue 4 must not re-screen rows already in active or staged runtime,Cross-checked at queue build: zero overlap with active 10 OR staged batch 3 14-row set; IU Health University Hospital + IU Health Riley Children are LEGITIMATELY DISTINCT sibling sites,N_A,Verified by python script during this sprint
