queue_4_rank,institution_or_system_name,city,state,candidate_type,why_selected,known_prior_status,source_lead,expected_yield,audience_hypothesis,risk,screening_priority,required_first_search_terms,do_not_claim,notes
1,Providence Alaska Medical Center,Anchorage,AK,STATE_GAP_FILL,AK is a zero-coverage state in the high-yield master,NEW,providence.org/locations/ak/providence-alaska-medical-center,MEDIUM,US_MD_DO,Likely no visiting-MS program documented; Alaska geographic isolation,P0_FOR_STATE_GAP,"providence alaska medical center visiting medical student elective",guaranteed; IMG-friendly,Largest hospital in Alaska
2,Alaska Native Medical Center,Anchorage,AK,STATE_GAP_FILL,AK zero-coverage; tribal health system; Alaska-specific population,NEW,anmc.org,LOW_TO_MEDIUM,US_MD_DO,Often closed/named-partner only; tribal jurisdiction,P0_FOR_STATE_GAP,"alaska native medical center elective visiting student",guaranteed; broad IMG access,Tribal Indian Health Service site
3,Saint Alphonsus Regional Medical Center,Boise,ID,STATE_GAP_FILL,ID is zero-coverage; Saint Alphonsus is the largest healthcare system in Idaho,NEW,saintalphonsus.org,MEDIUM,US_MD_DO,Possible Trinity Health affiliate; visiting-MS program may be unwritten,P0_FOR_STATE_GAP,"saint alphonsus medical school students elective",guaranteed,Catholic-affiliated
4,University of Idaho WAMI Medical Education Program,Moscow,ID,STATE_GAP_FILL_MEDICAL_SCHOOL_UME,ID has no in-state allopathic school; WAMI delivers MD via University of Washington partnership,NEW,uidaho.edu/cogs/programs/wwami,LOW,Multi-state UME,Limited per-site detail,P1_FOR_STATE_GAP,"WWAMI Idaho visiting medical student",IMG-friendly; broad audience,Distributed program
5,Billings Clinic,Billings,MT,STATE_GAP_FILL,MT zero-coverage; Billings Clinic is Montana's largest hospital,NEW,billingsclinic.com,MEDIUM,US_MD_DO,Site may be VSLO-only,P0_FOR_STATE_GAP,"billings clinic visiting medical student elective",guaranteed; IMG-friendly,Mayo Clinic Care Network member
6,Saint Vincent Healthcare,Billings,MT,STATE_GAP_FILL,MT zero-coverage; second major Montana hospital,NEW,svh-mt.org,LOW_TO_MEDIUM,US_MD_DO,SCL Health system,P0_FOR_STATE_GAP,"saint vincent healthcare montana medical student elective",guaranteed,
7,Wyoming Medical Center,Casper,WY,STATE_GAP_FILL,WY zero-coverage; the major hospital in Casper,NEW,wyomingmedicalcenter.org,LOW_TO_MEDIUM,US_MD_DO,Likely community-only,P0_FOR_STATE_GAP,"wyoming medical center visiting medical student elective",guaranteed; IMG-friendly,
8,Cheyenne Regional Medical Center,Cheyenne,WY,STATE_GAP_FILL,WY zero-coverage; major Cheyenne hospital,NEW,cheyenneregional.org,LOW_TO_MEDIUM,US_MD_DO,Family Medicine residency exists,P0_FOR_STATE_GAP,"cheyenne regional medical center elective medical student",guaranteed,
9,University of Vermont Medical Center,Burlington,VT,STATE_GAP_FILL_THIN,VT thin (1 row),NEW,uvmhealth.org,MEDIUM,MIXED,Robins MS / Larner SOM affiliated,P1_FOR_STATE_GAP,"UVM medical center visiting medical student elective",guaranteed; IMG-friendly,
10,Dartmouth Hitchcock Medical Center,Lebanon,NH,STATE_GAP_FILL_THIN,NH thin (1 row),NEW,dartmouth-hitchcock.org,MEDIUM,MIXED,Dartmouth Geisel affiliate,P1_FOR_STATE_GAP,"dartmouth hitchcock visiting student elective",guaranteed,
11,Sanford Health Fargo,Fargo,ND,STATE_GAP_FILL_THIN,ND thin (1 row),NEW,sanfordhealth.org,LOW_TO_MEDIUM,US_MD_DO,UND SMHS affiliate,P1_FOR_STATE_GAP,"sanford fargo visiting medical student elective",guaranteed,
12,Altru Health System,Grand Forks,ND,STATE_GAP_FILL_THIN,ND thin (1 row),NEW,altru.org,LOW,US_MD_DO,Community focus,P2_FOR_STATE_GAP,"altru visiting medical student elective",guaranteed,
13,Sanford USD Medical Center,Sioux Falls,SD,STATE_GAP_FILL_THIN,SD thin (1 row),NEW,sanfordhealth.org,LOW_TO_MEDIUM,US_MD_DO,USD Sanford SOM affiliate,P1_FOR_STATE_GAP,"sanford USD visiting student elective",guaranteed,
