state,screened_rows,source_proof_score_5_rows,ready_or_staged_rows,active_runtime_rows,partial_or_requeue_rows,major_systems_seen,major_gaps_known,confidence,notes
NY,56,UNKNOWN_HIGH,~5,0,UNKNOWN,NewYork-Presbyterian (Columbia + Cornell) / NYU Langone / Mount Sinai / Westchester / BronxCare / NYC H+H Lincoln,Brooklyn / Queens / Long Island public hospital subsystems likely thin,HIGH,Largest representation
CA,45,UNKNOWN_HIGH,1,1,UNKNOWN,Highland Hospital (Alameda Health System); UCSF / UCLA / Stanford coverage status UNKNOWN,UCSD / UC Davis / USC explicit visiting-student pages need re-check,HIGH,Active 5 includes Highland
PA,31,UNKNOWN_HIGH,1,0,UNKNOWN,Penn / Pitt (UPMC system) / Temple / Drexel,Penn State Hershey / Geisinger detail unclear,HIGH,UPMC Western Psychiatric is staged
TX,20,UNKNOWN_MEDIUM,1,0,UNKNOWN,Methodist (Bexar) / Baylor / UT Health Houston / UT Southwestern / UH SA (rejected),Texas A&M / Tech / Rio Grande coverage gap,HIGH,UH SA closed-network confirmed
NJ,20,UNKNOWN_HIGH,4,2,UNKNOWN,Atlantic Health (Morristown + Overlook active) / Newark Beth Israel / Saint Barnabas / Englewood / Hackensack,Inspira / Virtua coverage thin,HIGH,Strongest activation density per state
OH,19,UNKNOWN_HIGH,2,2,UNKNOWN,Cleveland Clinic (Mercy + Hillcrest active) / Cleveland Clinic Main Campus (ready) / OSU / Cincinnati,Toledo / Akron / community systems thin,HIGH,2 active cards from one system
MA,19,UNKNOWN_HIGH,UNKNOWN,0,UNKNOWN,Mass General Brigham / Beth Israel Lahey / Tufts / Boston Children's,Need explicit ready-set confirmation,MEDIUM,No active cards yet
FL,16,UNKNOWN_HIGH,3,0,UNKNOWN,Jackson Memorial / Mayo Jacksonville / HCA Florida Aventura / Manatee (rejected),USF / Nova Southeastern / Orlando Health gaps,HIGH,Manatee was Batch 3 reject
CT,16,UNKNOWN_HIGH,1,0,UNKNOWN,Yale New Haven Hospital,Hartford HealthCare / Bridgeport coverage thin,HIGH,Yale is in the 25-row ready set
MI,14,UNKNOWN_HIGH,UNKNOWN,0,UNKNOWN,Henry Ford / Beaumont / Michigan Medicine / Detroit Medical Center,DMC + Wayne State link ambiguity needs review,MEDIUM,
MD,10,UNKNOWN_HIGH,1,0,UNKNOWN,Johns Hopkins / University of Maryland,Suburban / community systems thin,HIGH,Hopkins in 25-row ready set
IL,10,UNKNOWN_HIGH,1,0,UNKNOWN,Northwestern Memorial / Rush / UChicago,Loyola / Cook County health system gaps,HIGH,Northwestern in 25-row ready set
NC,9,UNKNOWN_MEDIUM,1,0,UNKNOWN,Duke University Hospital / UNC,WakeMed / Atrium / ECU coverage thin,HIGH,Duke in 25-row ready set
VA,6,UNKNOWN_MEDIUM,1,0,UNKNOWN,Carilion Clinic / VCU / UVA,Sentara / Inova thin,MEDIUM,Carilion in 25-row ready set
TN,6,UNKNOWN_MEDIUM,UNKNOWN,0,UNKNOWN,Vanderbilt / UTHSC / Erlanger,Memphis-area gap,MEDIUM,
MO,5,UNKNOWN_MEDIUM,UNKNOWN,0,UNKNOWN,Wash U / SLU / Mercy / Truman,KCMC + Children's Mercy gaps,MEDIUM,
MN,5,UNKNOWN_HIGH,1,0,UNKNOWN,Mayo Saint Marys (ready) / U-Minn / Hennepin Healthcare,Mayo Mankato + Eau Claire flagged KEEP_INTERNAL,HIGH,Mayo Saint Marys in 25-row ready set
LA,5,UNKNOWN_MEDIUM,UNKNOWN,0,UNKNOWN,Tulane / LSU / Ochsner,New Orleans VA gap,MEDIUM,
GA,5,UNKNOWN_MEDIUM,1,0,UNKNOWN,Grady Memorial / Emory / Piedmont,Augusta / MCG gap,MEDIUM,Grady in 25-row ready set
AZ,5,UNKNOWN_MEDIUM,1,0,UNKNOWN,Mayo Phoenix / Banner / U-Arizona,Tucson VA gap,MEDIUM,Mayo Phoenix in 25-row ready set
WA,4,UNKNOWN_MEDIUM,UNKNOWN,0,UNKNOWN,UW / Virginia Mason / Swedish,WSU + Spokane gap,MEDIUM,
WV,3,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,WVU / Marshall,Mountain State coverage,MEDIUM,
