schema_version,queue_id,scope_type,scope_value,rank,institution_id,canonical_name,state,county,city,official_domain,target_lanes,priority,why_included,status,assigned_run_id,locked_at,completed_at,next_action,notes
p102-0r-1,p102_high_yield_usce,BATCH_1,uab-imed-international-visiting-students,1,inst_uab_hospital_al_v2,UAB Hospital,AL,Jefferson,Birmingham,uab.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,HY_P0_KNOWN_PUBLIC_SAFE,P101 + p102-pc-7-uab (29 PUBLIC_SAFE_USCE) re-run,NOT_STARTED,,,,fetch_a0_probe,Re-run UAB on extended FIXED_PATHS
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-miami,2,inst_medschool_miami_fl,University of Miami Miller School of Medicine,FL,Miami-Dade,Miami,med.miami.edu,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,HY_P1_STRONG_USCE_HINT,P101 evidence: med.miami.edu/offices/faculty-affairs/services/observerships + /medical-education/student-affairs/registrar/externships-services,NOT_STARTED,,,,fetch_a0_probe,Direct medical-school domain
p102-0r-1,p102_high_yield_usce,BATCH_1,health-usf-medicine,3,inst_usf_morsani_fl,USF Morsani College of Medicine,FL,Hillsborough,Tampa,health.usf.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P2_MEDICAL_SCHOOL_ELECTIVES,Hosts visiting medical student program for TGH; URL pattern likely /medicine/education/visiting-students,NOT_STARTED,,,,fetch_a0_probe,USF medical school for Tampa General academic content
p102-0r-1,p102_high_yield_usce,BATCH_1,med-ufl-college-medicine,4,inst_uf_college_of_medicine_fl,UF College of Medicine,FL,Alachua,Gainesville,med.ufl.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P2_MEDICAL_SCHOOL_ELECTIVES,UF COM hosts visiting student program at /students/visiting-students,NOT_STARTED,,,,fetch_a0_probe,UF medical school for Shands academic content
p102-0r-1,p102_high_yield_usce,BATCH_1,medicine-fiu-wertheim,5,inst_fiu_wertheim_fl,FIU Herbert Wertheim College of Medicine,FL,Miami-Dade,Miami,medicine.fiu.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P2_MEDICAL_SCHOOL_ELECTIVES,Wertheim teaches at Mount Sinai Miami Beach + Baptist; visiting-student URL likely /education/medical-education,NOT_STARTED,,,,fetch_a0_probe,Wertheim medical school for Mount Sinai Miami academic content
p102-0r-1,p102_high_yield_usce,BATCH_1,med-fsu-college-medicine,6,inst_fsu_college_of_medicine_fl,FSU College of Medicine,FL,Leon,Tallahassee,med.fsu.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P3_OBSERVERSHIP_HINT,FSU COM has rural-distributed model; visiting-student program may exist at /education or /students,NOT_STARTED,,,,fetch_a0_probe,Florida medical school
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-ucsf-current-students,7,inst_ucsf_school_of_medicine_ca,UCSF School of Medicine,CA,San Francisco,San Francisco,meded.ucsf.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P1_STRONG_USCE_HINT,P101 TIER_B: meded.ucsf.edu/current-students/visiting-student-program/visiting-student-program-overview (VSLO US-only),NOT_STARTED,,,,fetch_a0_probe,UCSF VSLO program direct
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-ucla-md-program,8,inst_ucla_school_of_medicine_ca,David Geffen School of Medicine at UCLA,CA,Los Angeles,Los Angeles,medschool.ucla.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P1_STRONG_USCE_HINT,P101 TIER_B: medschool.ucla.edu/education/md-education/visiting-students/vslo (VSLO),NOT_STARTED,,,,fetch_a0_probe,UCLA Geffen VSLO direct
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-stanford-international,9,inst_stanford_med_school_ca,Stanford School of Medicine,CA,Santa Clara,Stanford,med.stanford.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,HY_P1_STRONG_USCE_HINT,P101 TIER_B: med.stanford.edu/visiting-clerkships/international.html (IVS Program),NOT_STARTED,,,,fetch_a0_probe,Stanford IVS — note positive-control p102-pc-8-stanford had robots.txt block
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-keck-usc,10,inst_keck_school_of_medicine_usc_ca,Keck School of Medicine at USC,CA,Los Angeles,Los Angeles,keck.usc.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P1_STRONG_USCE_HINT,P101 TIER_B: keck.usc.edu/md-program/visiting-student-clerkships (VSLO),NOT_STARTED,,,,fetch_a0_probe,Keck USC VSLO
