pilot_selection_id,institution_name,risk_level,risk_type,risk_description,safe_public_wording_possible,required_caveat,banned_claim,notes
batch3-009-FL-manatee-memorial,Manatee Memorial Hospital,BLOCKING,NO_DIRECT_SOURCE,Hospital has no public visiting-student / observership / elective / sub-I / rotation source page. Only ACGME residencies are documented.,NO,n/a — do not list,Cannot claim visiting student program; cannot claim observership program; cannot claim USCE access; cannot list on public pilot.,Recommend KEEP_INTERNAL_FRAMEWORK_ONLY or REJECT_PUBLIC.
batch3-009-FL-manatee-memorial,Manatee Memorial Hospital,BLOCKING,RESIDENCY_ONLY_CONFUSION,GME page is residency-only; would mislead an applicant searching for USCE.,NO,n/a — do not list,Do not say IMG-friendly; do not say accepts visiting students; do not list under clerkships/electives/observerships.,
batch3-010-TX-uh-san-antonio,University Health San Antonio,HIGH,AUDIENCE_OVERBROADENING,Caribbean / IMG / out-of-state / for-profit-school students explicitly excluded by official affiliation policy.,NO_FOR_IMG_LANE,If listed for any other lane: must state "Texas-physical non-profit LCME schools with current affiliation agreement only" verbatim.,Cannot say IMG-friendly; cannot say Caribbean accessible; cannot say nationwide; cannot imply VSLO acceptance for non-Texas applicants.,Could be a future READY_PUBLIC_US_ONLY_TEXAS_NONPROFIT row but is too narrow for the IMG-focused micro-pilot.
batch3-010-TX-uh-san-antonio,University Health San Antonio,HIGH,AFFILIATION_REQUIRED,Affiliation agreement required at the school level; one-off student requests excluded.,NO_FOR_IMG_LANE,Required caveat: "School-level affiliation agreement required; individual applications not accepted.",Cannot present as openly-applicable.,
batch3-011-PA-upmc-western-psychiatric,UPMC Western Psychiatric Hospital,HIGH,CAMPUS_INFERENCE,No site-specific Western Psychiatric visiting-student page; system-level UPSOM/UPMC pages apply; site placement not guaranteed.,YES_WITH_CAVEAT,Required caveat: "System-level source — Western Psychiatric site placement not separately guaranteed." (Same wording pattern as CC Hillcrest pill.),Cannot claim Western Psychiatric site-specific elective availability.,Mirror the SYSTEM_PAGE_NO_SITE_SPECIFIC_GUARANTEE pill from the existing pilot.
batch3-011-PA-upmc-western-psychiatric,UPMC Western Psychiatric Hospital,HIGH,AUDIENCE_OVERBROADENING,Domestic program LCME/AOA-only (excludes Caribbean); international program admits enrolled-final-year-students only and is silent on Caribbean accreditation specifically.,YES_WITH_CAVEAT,Required caveats: "Domestic visiting program: LCME / AOA accredited home institutions in North America only" and "International visiting program: enrolled international students in final year of medical education only — graduates excluded".,Cannot claim observerships for graduates; cannot claim broad IMG pathway.,
batch3-011-PA-upmc-western-psychiatric,UPMC Western Psychiatric Hospital,MODERATE,COST_FEE_UNCLEAR,International program charges $4,500 per clinical elective; domestic program fee not located in this capture.,YES_WITH_CAVEAT,Required caveat for international audience: "USD 4,500 per clinical elective (international program)".,Cannot claim free.,
batch3-011-PA-upmc-western-psychiatric,UPMC Western Psychiatric Hospital,MODERATE,VISA_OVERCLAIM,Source provides acceptance letter / invoice for visa purposes but does NOT state J-1 or H-1B sponsorship.,YES_WITH_CAVEAT,Required caveat: "B-1/B-2 visa documentation supported on acceptance; J-1 / H-1B sponsorship not stated on source.",Cannot claim J-1 sponsored; cannot claim H-1B sponsored.,
batch3-012-NY-lincoln-medical,NYC Health + Hospitals/Lincoln,MODERATE,CAMPUS_INFERENCE,System-level NYC H+H MOSAIC program; participants matched to a participating site (could be Lincoln or another H+H facility). No Lincoln-specific placement guarantee.,YES_WITH_CAVEAT,Required caveat: "System-level source — Lincoln site placement not separately guaranteed.",Cannot claim Lincoln-specific availability.,Same SYSTEM_PAGE_NO_SITE_SPECIFIC_GUARANTEE pattern as CC Hillcrest.
batch3-012-NY-lincoln-medical,NYC Health + Hospitals/Lincoln,HIGH,AUDIENCE_OVERBROADENING,Eligibility limited to US LCME allopathic OR AOA osteopathic medical students. Caribbean / IMG explicitly excluded by accreditation language.,NO_FOR_IMG_LANE,Required caveat: "U.S. LCME-accredited allopathic OR AOA-accredited osteopathic medical students only".,Cannot claim Caribbean accessible; cannot claim IMG accessible.,Bucket would be READY_PUBLIC_US_ONLY similar to CCF Mercy.
batch3-012-NY-lincoln-medical,NYC Health + Hospitals/Lincoln,LOW,COST_FEE_UNCLEAR,$2,000 stipend + $2,000 housing stipend documented; tuition / fees not stated separately.,YES,Required: "$2,000 rotation stipend + $2,000 housing stipend (non-NYC metro)".,Cannot claim guaranteed acceptance.,
