institution_name,prior_auto_status,corrected_status,why_corrected,recommended_next_action,notes
Oregon Health and Science University Hospital,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,Auto-navigator's 1-2 anchor-hop heuristic didn't reach the visiting-students sub-page; OHSU SOM almost certainly has a visiting-students lane 2-3 menu clicks deep,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,Strong P0 state-gap candidate; OR has only thin coverage currently
University of Utah Hospital,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,medicine.utah.edu/programs/md responded 200 but visiting-MS sub-page is deeper; UCSF same-pattern recovered as visiting-student-program (singular),P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,U-Utah SOM has a visiting-students lane per standard SOM pattern; URL slug variants need real browser navigation
UCHealth University of Colorado Hospital,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,medschool.cuanschutz.edu landing not reached by anchor heuristic; CU SOM visiting-students lane needs deeper navigation,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,
UCLA Ronald Reagan Medical Center,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,UCLA Geffen SOM almost certainly has a visiting-students page; not reached by the URL guesses or anchor heuristic,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,Top P0 AMC gap
Stanford Health Care,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,Stanford SOM has a visiting-students program; URL paths returned 404 for both guesses,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,Top P0 AMC gap
Barnes-Jewish Hospital / Washington University,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,WashU SOM visiting-students lane exists; URL pattern needs browser-based discovery,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,
Brigham and Womens Hospital,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,HMS-meded landing reached but visiting-students sub-page not auto-discovered,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,HMS centrally administers visiting-MS for BWH+MGH
Massachusetts General Hospital,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,Same HMS-administered lane as BWH,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,Same HMS lane
Memorial Sloan Kettering Cancer Center,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,MSK has explicit visiting-student program per audit notes; URL pattern returned 404,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,Specialty oncology card
University of Florida Health Shands Hospital,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,UF COM registrar visiting-MS page exists; subdomain may have changed,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,
Houston Methodist Hospital,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,Houston Methodist hosts visiting MS via multiple SOM affiliates (Weill Cornell + Baylor); needs browser site search,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,System with multi-SOM affiliations
UT Southwestern University Hospital - Clements Hospital,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,UTSW SOM registrar visiting-students page is well-known to exist but URL pattern returned 404,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,
LAC+USC Medical Center,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,Keck USC visiting-students lane exists; URL pattern returned 404,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,Public safety-net AMC
Parkland Health,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,Parkland goes through UTSW SOM visiting-students lane,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,Same UTSW lane as Clements
Saint Alphonsus Regional Medical Center,NO_RELEVANT_PUBLIC_SOURCE_FOUND,LIKELY_NO_PUBLIC_VISITING_MS_LANE,Community-hospital landing reached; no education / visiting-MS link surfaced; Trinity Health affiliate without published visiting-MS lane,LATER_OR_KEEP_INTERNAL,Honestly likely has no public visiting-MS program; not a strong recovery candidate
Denver Health Medical Center,NO_RELEVANT_PUBLIC_SOURCE_FOUND,MANUAL_BROWSER_NAV_REQUIRED,Denver Health uses CU SOM lane; needs browser site search,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,Public safety-net; CU SOM affiliate
Alaska Native Medical Center,NO_RELEVANT_PUBLIC_SOURCE_FOUND,LIKELY_NO_PUBLIC_VISITING_MS_LANE,Tribal jurisdiction; education access often closed,LATER_OR_KEEP_INTERNAL,Likely closed to outside visiting MS by tribal jurisdiction
Providence Alaska Medical Center,NO_RELEVANT_PUBLIC_SOURCE_FOUND,LIKELY_NO_PUBLIC_VISITING_MS_LANE,Community hospital lacking SOM affiliation,LATER_OR_KEEP_INTERNAL,AK genuinely lacks a documented visiting-MS lane at this site
Wyoming Medical Center,NO_RELEVANT_PUBLIC_SOURCE_FOUND,LIKELY_NO_PUBLIC_VISITING_MS_LANE,Community hospital; no documented visiting-MS program,LATER_OR_KEEP_INTERNAL,
Billings Clinic,BLOCKED_LOGIN_OR_CAPTCHA,MANUAL_BROWSER_NAV_REQUIRED,Bot-defense (CDN) blocks curl; real browser fetch needed,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,Hosts visiting MS via U-Washington WAMI per audit notes
Michigan Medicine - University Hospital,BLOCKED_LOGIN_OR_CAPTCHA,MANUAL_BROWSER_NAV_REQUIRED,Bot-defense; real browser fetch needed,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,U-Michigan SOM visiting-students lane is well-known to exist
Bellevue Hospital - NYC H+H,BLOCKED_LOGIN_OR_CAPTCHA,MANUAL_BROWSER_NAV_REQUIRED,Page returned 200 generic homepage but MOSAIC visiting-scholars sub-route not auto-discovered,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,Same MOSAIC source family as Lincoln (already staged)
Harborview Medical Center,BLOCKED_LOGIN_OR_CAPTCHA,MANUAL_BROWSER_NAV_REQUIRED,UW Medicine 403; real browser needed,P97-QUEUE-4-SESSION-1-MANUAL-NAVIGATION-PASS-2,UW SOM lane is well-known to exist
