row_id,institution_name,city,state,source_url,source_scope,source_type,existing_html_snapshot,existing_archive_url,existing_quote,target_capture_priority,candidate_status_before,notes
promo3-06-FL-jackson-memorial-hospital,Jackson Memorial Hospital,Miami,FL,https://med.miami.edu/medical-education/visiting-students,SYSTEM_LEVEL_UM_MILLER_SOM,medical-school-UME,html-snapshots/jackson-memorial.html,https://web.archive.org/web/20240826155747/https://med.miami.edu/medical-education/visiting-students,Visiting students apply via UM Miller SOM,P0_DRAFT,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only
promo3-09-NC-duke-university-hospital,Duke University Hospital,Durham,NC,https://medschool.duke.edu/education/health-professions-education-programs/student-services/office-registrar/visiting-students,SITE_LEVEL_DUKE,medical-school-UME,html-snapshots/duke.html,https://web.archive.org/web/20260509220256/https://medschool.duke.edu/education/health-professions-education-programs/student-services/office-registrar/visiting-students,US/PR LCME/COCA only via VSLO,P0_DRAFT,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only
promo3-10-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,Chicago,IL,https://www.feinberg.northwestern.edu/md-education/visiting-students/index.html,SYSTEM_LEVEL_FEINBERG,medical-school-UME,html-snapshots/northwestern.html,https://web.archive.org/web/20260509220322/https://www.feinberg.northwestern.edu/md-education/visiting-students/index.html,Feinberg LCME/AOA only,P0_DRAFT,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only
promo3-11-PA-hospital-of-the-university-of-pennsylvania,Hospital of the University of Pennsylvania,Philadelphia,PA,https://www.med.upenn.edu/student/application-and-dates.html,SYSTEM_LEVEL_PERELMAN,medical-school-UME,html-snapshots/penn.html,https://web.archive.org/web/20260509220355/https://www.med.upenn.edu/student/application-and-dates.html,Perelman SOM application page,P0_DRAFT,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only
promo3-12-NY-nyu-langone-health-tisch-hospital,NYU Langone Health - Tisch Hospital,New York,NY,https://med.nyu.edu/education/md-degree/registration-student-records/information-visiting-md-students,SITE_LEVEL_TISCH,medical-school-UME,html-snapshots/nyu-langone.html,https://web.archive.org/web/20260509220418/https://med.nyu.edu/education/md-degree/registration-student-records/information-visiting-md-students,NYU Grossman SOM Visiting MD Students,P0_DRAFT,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only
promo3-17-TX-methodist-hospital-san-antonio,Methodist Hospital (San Antonio),San Antonio,TX,https://hcahealthcaregme.com/locations/methodist-hospital/,SYSTEM_LEVEL_HCA_GME,hospital-system-page,html-snapshots/methodist-tx.html,https://web.archive.org/web/20260509220452/https://hcahealthcaregme.com/locations/methodist-hospital/,HCA Healthcare GME location page,P0_DRAFT,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only via HCA GME
promo3-25-IN-indiana-university-health-methodist-hospital,Indiana University Health Methodist Hospital,Indianapolis,IN,https://medicine.iu.edu/md/admissions/guest-students,SITE_LEVEL_IU_METHODIST,medical-school-UME,html-snapshots/iu-methodist.html,https://web.archive.org/web/20260509220539/https://medicine.iu.edu/md/admissions/guest-students,IU SOM Guest Students,P0_DRAFT,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only
promo3-08-NY-mount-sinai-hospital,Mount Sinai Hospital,New York,NY,https://icahn.mssm.edu/education/students/registrar/electives/visiting-lcme-schools,SYSTEM_LEVEL_ICAHN,medical-school-UME,html-snapshots/mount-sinai-wayback.html,https://web.archive.org/web/20260211182726/https://icahn.mssm.edu/education/students/registrar/electives/visiting-lcme-schools,Icahn SOM Visiting Students from LCME schools,P1_RETRY,NEEDS_EVIDENCE_HARDENING,Live page bot-defense blocked; Wayback used; URL slug 'visiting-lcme-schools' itself signals LCME-only
promo3-02-MN-mayo-clinic-hospital-saint-marys,Mayo Clinic Hospital - Saint Marys Campus,Rochester,MN,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,SYSTEM_LEVEL_MAYO_CLERKSHIPS,medical-school-UME,html-snapshots/mayo-saint-marys-wayback.html,https://web.archive.org/web/20260508165135/https://college.mayo.edu/academics/visiting-medical-student-clerkships/,Mayo Clinic College of Medicine Visiting Medical Student Clerkships with international applicants section,P1_CLASS_A,NEEDS_EVIDENCE_HARDENING,Live page bot-defense blocked; Wayback verified; per-site mapping unclear (one URL for 3 Mayo sites)
promo3-04-NY-nyp-columbia,NewYork-Presbyterian Hospital - Columbia University Medical Center,New York,NY,https://www.vagelos.columbia.edu/education/academic-programs/md-program/visiting-student-program,SYSTEM_LEVEL_VAGELOS,medical-school-UME,html-snapshots/nyp-columbia.html,(none yet — could be added in next sprint),Vagelos Visiting Student Program with International Visiting Students sub-section,P1_CLASS_A,NEEDS_EVIDENCE_HARDENING,Page confirms International Visiting Students section exists but specific eligibility/fee terms need quote-level verification before promotion
