pattern,why_bad,example_if_known,queue_4_guardrail,notes
TREATING_SYSTEM_PAGE_AS_CAMPUS_SPECIFIC,Public copy overpromises a campus-specific rotation when the source covers an entire SOM,Jackson Memorial — UM Miller SOM page covers many sites; deferred for this reason,Queue-4 row's notes column must flag SYSTEM_PAGE if source URL is the SOM-not-hospital page; activation requires SYSTEM_PAGE_SOURCE_NO_<SITE>_SPECIFIC_GUARANTEE caveat,Reused from Slice-2 audit
TREATING_RESIDENCY_PAGE_AS_USCE,Residency / fellowship / GME pages are not visiting-medical-student pages,HCA Aventura was Class-A in original but turned out to be GME-focused → Class-D wrong-lane,If source URL contains /residency or /gme without a separate /visiting-students lane mark KEEP_INTERNAL or future-lane,
TREATING_SOM_AFFILIATED_AS_OPEN_VISITING,SOM-affiliated rotations may only be open to that SOM's own students or named-partner students,Some Caribbean affiliations are named-partner-only,Verify "visiting students from other LCME schools" or "VSLO" language explicitly,
BROAD_IMG_CLAIM_WITHOUT_SOURCE,Asserting IMG eligibility without source language,N_A,If source does not say "international medical graduates" or equivalent verbatim default to UNKNOWN_NOT_STATED for IMG,
VISA_SPONSORSHIP_CLAIM_WITHOUT_SOURCE,Asserting J-1 / H-1B sponsorship without explicit source,N_A,Default to NO_J1_VERIFIED + NO_H1B_VERIFIED if source is silent,
SOURCE_ARCHIVED_BUT_NOT_CURRENT,Old Wayback snapshot may not reflect current eligibility,Mount Sinai Wayback was 2026-02-11 — fine but newer snapshots beat older,Prefer fresh-this-sprint Wayback save; allow ARCHIVE_PRIOR_VERIFIED only if HEAD-verified within 90 days,
SCREENSHOT_OR_WAYBACK_WITHOUT_OFFICIAL_SOURCE_CLARITY,Evidence triple is filled but the source's actual scope is unclear,Mayo system page (one URL for 3 Mayo sites) — quote_manifest rated PARTIAL,If quote_manifest would rate PARTIAL stop and mark NEEDS_EVIDENCE_HARDENING,
VALIDATOR_WEAKENING,Updating a validator to accept lower bar instead of fixing data,N_A,Validators may be EXTENDED but not weakened; original invariants must remain,Track in commit message
ENDLESS_MAPPING_AFTER_LAUNCH_BLOCKERS_FIXED,Continuing infrastructure work past the point where new product is the bottleneck,N_A,If 3 consecutive sprints don't grow active runtime trigger a strategic checkpoint,Reflects the lesson from Slices 1+2
ACTIVATING_LOWER_CONFIDENCE_ROWS_JUST_FOR_COUNT,Forcing deferred rows active to grow the count,Slice-3 candidate set (Jackson / Methodist San Antonio) — DO NOT activate without per-site source landed,Validator-enforced by DEFERRED_NOT_YET_ACTIVE_IDS in validate-micro-pilot-runtime.ts,
USING_AUTOMATED_FREIDA_OR_ACGME_SCRAPING,Violates the project's standing data-collection rules,N_A,Official / public sources only; no API scraping; no login bypass,Per project doctrine
TOUCHING_T7_FROM_MAC_LOCAL_SCREENING,Cross-lane mutation creates fragile dependency,N_A,T7 is read-only canonical; Mac-local clean branch is the only mutating lane,
PUBLISHING_TO_PRODUCTION_FROM_NOINDEX_SLICE,Production must remain at 0 USCE cards until USCE is excellent,N_A,validate-micro-pilot-runtime ensures noindex+nofollow; no merge to main,
COMMITTING_UNRELATED_DIRTY_FILES,Sprint-scope discipline; commits must be reviewable,.claude/launch.json + public-listings.generated.{json,ts} (timestamp drift) + NPPES + redesign-mockups,Stage by named path only; no broad git add .,
PRINTING_TOKENS_OR_SECRETS,P0 incident risk,gh auth status -t accidentally exposed a gho_ token in an earlier sprint,Never use -t with gh auth status; redact AIza/AKIA/ghp_/etc patterns; validate-no-secrets must PASS before commit,Resolved by P0-SECRETS-INCIDENT incident
