session_rank,queue_4_rank,institution_name,city,state,candidate_type,source_lead
1,1,Providence Alaska Medical Center,Anchorage,AK,STATE_GAP_FILL,https://www.providence.org/locations/ak/providence-alaska-medical-center
2,2,Alaska Native Medical Center,Anchorage,AK,STATE_GAP_FILL,https://anmc.org/
3,3,Saint Alphonsus Regional Medical Center,Boise,ID,STATE_GAP_FILL,https://www.saintalphonsus.org/
4,5,Billings Clinic,Billings,MT,STATE_GAP_FILL,https://www.billingsclinic.com/
5,7,Wyoming Medical Center,Casper,WY,STATE_GAP_FILL,https://www.banneruwmedicine.org/locations/casper/banner-wyoming-medical-center
6,17,Oregon Health and Science University Hospital,Portland,OR,STATE_GAP_FILL_THIN_AMC,https://www.ohsu.edu/school-of-medicine/visiting-medical-students
7,22,University of Utah Hospital,Salt Lake City,UT,STATE_GAP_FILL_THIN_AMC,https://medicine.utah.edu/students/visiting-students
8,23,UCHealth University of Colorado Hospital,Aurora,CO,STATE_GAP_FILL_THIN_AMC,https://medschool.cuanschutz.edu/student-affairs/visiting-students
9,24,Denver Health Medical Center,Denver,CO,STATE_GAP_FILL_THIN_PUBLIC,https://denverhealth.org/
10,31,UCSF Medical Center,San Francisco,CA,ACADEMIC_MEDICAL_CENTER,https://meded.ucsf.edu/visiting-medical-students
11,32,UCLA Ronald Reagan Medical Center,Los Angeles,CA,ACADEMIC_MEDICAL_CENTER,https://medschool.ucla.edu/education/visiting-medical-students
12,35,Stanford Health Care,Stanford,CA,ACADEMIC_MEDICAL_CENTER,https://med.stanford.edu/md/student-affairs/visiting-student-program.html
13,37,Vanderbilt University Medical Center,Nashville,TN,ACADEMIC_MEDICAL_CENTER,https://medschool.vanderbilt.edu/student-affairs/visiting-students
14,38,Barnes-Jewish Hospital / Washington University,Saint Louis,MO,ACADEMIC_MEDICAL_CENTER,https://medicine.wustl.edu/visiting-students
15,40,Michigan Medicine - University Hospital,Ann Arbor,MI,ACADEMIC_MEDICAL_CENTER,https://medicine.umich.edu/medschool/education/md-program/visiting-students
16,49,Brigham and Womens Hospital,Boston,MA,ACADEMIC_MEDICAL_CENTER,https://meded.hms.harvard.edu/visiting-students
17,50,Massachusetts General Hospital,Boston,MA,ACADEMIC_MEDICAL_CENTER,https://meded.hms.harvard.edu/visiting-students
18,72,Memorial Sloan Kettering Cancer Center,New York,NY,ACADEMIC_MEDICAL_CENTER,https://www.mskcc.org/education/medical-students/visiting-students
19,77,University of Florida Health Shands Hospital,Gainesville,FL,ACADEMIC_MEDICAL_CENTER,https://com-registrar.med.ufl.edu/visiting-medical-students/
20,84,Houston Methodist Hospital,Houston,TX,ACADEMIC_MEDICAL_CENTER,https://www.houstonmethodist.org/education/medical-students/
21,87,UT Southwestern University Hospital - Clements Hospital,Dallas,TX,ACADEMIC_MEDICAL_CENTER,https://www.utsouthwestern.edu/education/medical-school/visiting-students/
22,43,Bellevue Hospital - NYC H+H,New York,NY,PUBLIC_HOSPITAL_SYSTEM,https://www.nychealthandhospitals.org/bellevue/
23,44,LAC+USC Medical Center,Los Angeles,CA,PUBLIC_HOSPITAL_SYSTEM,https://keck.usc.edu/education/visiting-students/
24,46,Parkland Health,Dallas,TX,PUBLIC_HOSPITAL_SYSTEM,https://www.utsouthwestern.edu/education/medical-school/visiting-students/
25,47,Harborview Medical Center,Seattle,WA,PUBLIC_HOSPITAL_SYSTEM,https://www.uwmedicine.org/education/md/visiting-students
