batchId,itemId,title,currentSourceUrl,reasonNoBetterSourceFound,termsTried,recommendedNextStep
001,cmn2111jv001esb1197ufjp8u,Northwell Health System,https://international.northwell.edu/consulting-advisory-services,"site:northwell.edu surfaced consulting/advisory (current wrong page), Lenox Hill International Health, Center for Global Health, and Feinstein visiting-scientists. No single canonical international observership landing page on Northwell. Suggest manual contact via International Services.",site:northwell.edu international observership IMG visiting,Current URL is genuinely wrong (consulting page). No clean replacement on northwell.edu — needs human dig or direct contact.
001,cmn2114240076sb11zfiteqrx,Clinical Experience Programs (CEP) — IMG Rotations,https://clinicalexperienceprograms.com/,"Could not independently verify clinicalexperienceprograms.com legitimacy via web search. Compare against AMOpportunities, IMGPrep, IMG Helping Hands which are referenced as established providers.","""clinicalexperienceprograms.com"" CEP IMG rotations review legitimate",Third-party USCE broker — needs manual due-diligence pass before keep/discard.
001,cmn2111qh001wsb111gq2cngn,UC Irvine Medical Center,https://www.ucihealth.org/,UCI Health 'Irvine Clinical Experience' explicitly excludes international students without SSN. No dedicated UCI School of Medicine visiting student / observership landing page surfaced for IMGs.,site:ucihealth.org international observership IMG visiting medical student,May not actually offer USCE relevant to IMGs; consider DISCARD if confirmed.
001,cmn21159u00a4sb11kzzrh8a0,Beaumont Hospital — Royal Oak,https://www.beaumont.org/,Only PDFs surfaced for student-observership at Beaumont/Corewell Dearborn. No clean HTML landing page found post-rebrand to Corewell. Consider linking the Royal Oak hospital page + the application PDF.,site:beaumont.org observership IMG visiting medical student,Check corewellhealth.org for a unified post-rebrand landing.
001,cmn2111j4001csb113odjp4jt,Brookdale University Hospital,https://www.ecfmg.org/,Brookdale (Brooklyn) — current URL is ECFMG.org (clearinghouse). General web search returned no Brookdale-specific observership landing page. Recommend manual outreach.,Brookdale Hospital observership IMG international visiting medical graduate,Possibly hosted under One Brooklyn Health system — try onebrooklynhealth.org.
002,cmn211569009usb119spp0t4q,Crozer-Chester Medical Center,https://www.crozerhealth.org/,Crozer Health (Prospect Medical bankruptcy 2024-25). No observership/visiting student page surfaced.,site:crozerhealth.org observership IMG visiting medical student,System in financial distress; programs may be paused.
002,cmn2112tr004csb11exwui0cw,Grady Memorial Hospital,https://www.gradyhealth.org/,Grady Memorial — no medical student observership page. Grady is a teaching site for Emory and Morehouse — try those affiliated routes.,site:gradyhealth.org observership visiting medical student IMG elective,Try Emory + Morehouse SOM affiliations.
002,cmn21117e000msb11t80jqdux,Interfaith Medical Center,https://www.ecfmg.org/,"Interfaith Medical Center (Brooklyn) — current sourceUrl is ECFMG.org placeholder. Hospital filed bankruptcy 2014, now under One Brooklyn Health.",(no targeted search; ECFMG placeholder),Try onebrooklynhealth.org.
002,cmn2114yf009esb11j10sd1ub,Kingsbrook Jewish Medical Center,https://www.ecfmg.org/,Kingsbrook Jewish (Brooklyn) — current sourceUrl is ECFMG.org placeholder. Now part of One Brooklyn Health. Brooklyn USCE founder Dr. Khillan worked at KingsBrook.,(no targeted search; ECFMG placeholder),Try onebrooklynhealth.org. Possible Brooklyn USCE affiliation.
003,cmn21150f009ksb11e35rot4t,Richmond University Medical Center,https://www.rumcsi.org/,Richmond University Medical Center GME page. Only residency programs surfaced; no dedicated observership landing.,site:rumcsi.org Richmond University Medical Center observership IMG,Try direct contact.
003,cmn2114z5009gsb11laxdyyfc,St. John's Episcopal Hospital,https://www.ehs.org/,St. John's Episcopal Hospital — Episcopal Health Services Medical Education page. Multiple ACGME residencies welcoming to IMGs but no specific observership info found.,"site:ehs.org OR ""St John's Episcopal Hospital"" Far Rockaway observership IMG",Direct contact via Education page.
004,cmn2113fn005usb11jprkbjsa,VCU Health / MCV Hospitals,https://www.vcuhealth.org/,VCU SOM M4 electives page. Direct registrar contact required. No clear IMG observership info.,site:vcuhealth.org OR site:medschool.vcu.edu visiting medical student observership IMG elective,Email SOMRegistrar@vcuhealth.org.
004,cmn2111el0016sb11s4ch7y7z,Wyckoff Heights Medical Center,https://www.wyckoffhospital.org/,Wyckoff Heights Medical Center — Brooklyn teaching hospital. No specific observership landing page found. NYMC-affiliated residency.,site:wyckoffhospital.org Wyckoff Heights observership IMG visiting medical graduate,Direct contact via Medical Professionals page.
004,cmn2114zu009isb116spgam3g,Wyckoff Heights Medical Center,https://www.wyckoffhospital.org/,Duplicate Wyckoff row.,(duplicate),Dedupe.
004,cmn2111o8001qsb11j87evr4c,Cedars-Sinai Medical Center,https://www.cedars-sinai.org/,Cedars-Sinai — no medical student observership/IMG program surfaced. International services are patient-facing.,site:cedars-sinai.org observership visiting medical student IMG international,Try direct contact with GME.
