retrofit_rank,institution,state,current_packet_path,current_classification,why_selected,enhancement_priority,official_source_urls_to_reopen,status
1,UAB Hospital,AL,docs/platform-v2/local/usce-discovery-command-center/institution-packets/AL/university-of-alabama-at-birmingham-hospital.json,INTERNATIONAL_STUDENT_CONFIRMED,High-value IMG lane with verbatim $5200/4wk + $350 app fee + B-1/B-2 visa; clear future user-facing listing,P0,https://www.uab.edu/medicine/international/international-programs/international-visiting-medical-students,QUEUED
2,Stanford Health Care,CA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/CA/stanford-health-care.json,INTERNATIONAL_STUDENT_CONFIRMED,Most detailed cost breakdown in P101 ($3100-$12400) + MD-grad exclusion + visa student-responsibility; complex caveats,P0,https://med.stanford.edu/visiting-clerkships/international.html,QUEUED
3,Emory University Hospital,GA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/GA/emory-university-hospital.json,INTERNATIONAL_STUDENT_CONFIRMED,Two-tier pricing US/Intl + TOEFL + Oct-Feb intl window + 5 core clerkships req; complex caveats,P0,https://med.emory.edu/education/admissions/visiting/index.html,QUEUED
4,UPMC Presbyterian,PA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/PA/upmc-presbyterian.json,INTERNATIONAL_STUDENT_CONFIRMED,$4500/elective international tuition + Global Health Dean review + 25/50% cancellation; future high-yield page,P0,https://www.researchprograms.medschool.pitt.edu/international-visiting-student-program,QUEUED
5,Boston Medical Center,MA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/MA/boston-medical-center.json,INTERNATIONAL_STUDENT_CONFIRMED,Caribbean + MD-grad explicit exclusion verbatim; $3000/4wk; B-1/B-2; strong exclusion language,P0,https://www.bumc.bu.edu/isep/,QUEUED
6,Parkland Health,TX,docs/platform-v2/local/usce-discovery-command-center/institution-packets/TX/parkland-health-utsw.json,INTERNATIONAL_STUDENT_CONFIRMED,International RESTRICTED to Pathology+Pediatrics only verbatim; B-1 visa sponsored by UTSW; safety-net,P0,https://medschool.utsouthwestern.edu/admissions/visiting/international.html,QUEUED
7,Brigham and Women's Hospital,MA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/MA/brigham-and-womens-hospital.json,INTERNATIONAL_STUDENT_CONFIRMED,HMS-routed + Oct-Mar intl window + $115/experience; covers BWH+MGH dual placement,P0,https://hms.harvard.edu/departments/office-registrar/visiting-students-program/apply,QUEUED
8,Massachusetts General Hospital,MA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/MA/massachusetts-general-hospital.json,INTERNATIONAL_STUDENT_CONFIRMED,Same HMS gateway as BWH; surgery residency IMG correctly rejected as RESIDENCY_ONLY sub-finding,P1,https://www.massgeneral.org/surgery/education-and-training/advanced-surgery-clerkship-program,QUEUED
9,Beth Israel Deaconess Medical Center,MA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/MA/beth-israel-deaconess-medical-center.json,INTERNATIONAL_STUDENT_CONFIRMED,Same HMS gateway; positive antibody titers required (not just vaccination records),P1,https://www.bidmc.org/medical-education/undergraduate-medical-education,QUEUED
10,Cook County Health (Stroger),IL,docs/platform-v2/local/usce-discovery-command-center/institution-packets/IL/cook-county-health-stroger.json,POSSIBLE_USCE_NEEDS_REVIEW,Safety-net overclaim risk + observership-not-offered verbatim + 2018 PDF stale; needs-review classification,P0,https://cookcountyhealth.org/education-and-research/,QUEUED
