state,county,institutionName,institutionType,officialWebsite,healthSystem,medicalSchoolAffiliation,teachingHospitalLikely,vaAffiliated,searchedAt,searchStatus,searchTermsTried,officialPagesOpened,candidateCount,notFoundReason,notes
ME,Cumberland,Maine Medical Center (MMC),academic_medical_center,https://www.mainehealth.org/maine-medical-center,MaineHealth,Tufts School of Medicine (Maine Track),true,true (Togus VA),2026-05-02T05:00:06.504Z,SEARCHED_CANDIDATES_FOUND,site:mainehealth.org observership visiting medical student IMG elective,5,2,,MaineHealth flagship; 17 ACGME residencies + 19 fellowships; ~400 trainees; J1 visa for IMG residency.
ME,Cumberland,Maine Track Program (Tufts/MMC),medical_school,https://medicine.tufts.edu/academics/medicine/maine-track-md,MaineHealth + TUSM,Tufts SOM,false,false,2026-05-02T05:00:06.504Z,SEARCHED_NONE_FOUND,"""Tufts Maine Track"" Maine Medical Center visiting medical student observership IMG",3,0,TUSM Maine Track is for matriculated Tufts students enrolled in the Maine community track; not a visiting elective for IMGs. TUSM does not offer observerships for visiting students; international students not eligible.,See rejected log.
ME,Penobscot,Northern Light Eastern Maine Medical Center (EMMC),academic_medical_center,https://northernlighthealth.org/Our-System/Eastern-Maine-Medical-Center,Northern Light Health,UNECOM + MMC affiliations,true,true (Togus VA affiliate),2026-05-02T05:00:06.504Z,SEARCHED_NONE_FOUND,"""Northern Light"" ""Eastern Maine"" Bangor medical student elective residency rotations",4,0,411-bed referral center; Family Medicine + other ACGME residencies; no visiting medical student elective page surfaced. Direct contact required.,See not-found log.
ME,Penobscot,Northern Light Acadia Hospital (Psychiatry),hospital,https://northernlighthealth.org/Our-System/Acadia-Hospital,Northern Light Health,UNECOM,false,false,2026-05-02T05:00:06.504Z,SEARCHED_NONE_FOUND,site:northernlighthealth.org Acadia psychiatry residency rotations,2,0,Psychiatry residency only; no visiting medical student elective info found.,See not-found log.
ME,Kennebec,MaineGeneral Medical Center,hospital,https://www.mainegeneral.org/,MaineGeneral Health,MaineHealth (clinical campus),true,"true (Togus VA, same county)",2026-05-02T05:00:06.504Z,SEARCHED_NONE_FOUND,site:mainegeneral.org observership visiting medical student IMG elective,3,0,"~500 student learners/year per official site, but no public visiting MS / IMG observership landing page; student opportunities are general healthcare careers. Direct outreach to medical education needed.",See not-found log.
ME,Kennebec,Togus VA Medical Center,va_teaching_hospital,https://www.va.gov/maine-health-care/locations/togus-va-medical-center/,VHA,MMC + EMMC + UNECOM,true,true,2026-05-02T05:00:06.504Z,SEARCHED_CANDIDATES_FOUND,site:va.gov Togus Maine VA observership visiting medical student IMG elective,3,1,"VA Maine HCS affiliated with MMC + EMMC + UNECOM. Medical students/residents/fellows rotate via the affiliated medical schools, not a direct VA application.",Cross-reference with MMC + EMMC + UNECOM rows.
ME,Androscoggin,Central Maine Medical Center / Central Maine Healthcare,hospital,https://www.cmhc.org/,Central Maine Healthcare,UNECOM clinical campus,true,false,2026-05-02T05:00:06.504Z,SEARCHED_CANDIDATES_FOUND,"site:cmhc.org ""Central Maine"" Lewiston observership visiting medical student IMG",4,1,Open to U.S./Canadian/international med students for clinical rotations. NO observerships/externships/research/volunteer/pre-match. Family Medicine + Internal Medicine residencies.,International students explicitly accepted for clerkships.
ME,York,University of New England College of Osteopathic Medicine (UNECOM),medical_school,https://www.une.edu/com,University of New England,UNECOM,false,false,2026-05-02T05:00:06.504Z,SEARCHED_NONE_FOUND,site:une.edu UNECOM University of New England visiting medical student observership IMG elective,3,0,"Clerkship + International Rotations pages exist but framed for UNE COM matriculated students, not visiting IMGs. International rotations are outbound for UNE students.",See not-found log.
ME,York,York Hospital,hospital,https://www.yorkhospital.com/,York Hospital,MGH clinical affiliation,false,false,2026-05-02T05:00:06.504Z,SEARCHED_NONE_FOUND,"""York Hospital"" Maine observership visiting medical student IMG",2,0,MGH clinical affiliation; potential merger with MaineHealth pending. No public visiting MS / IMG landing page.,See not-found log.
ME,York,MaineHealth Maine Medical Center Biddeford (former Southern Maine Health Care),hospital,https://www.mainehealth.org/locations/mainehealth-maine-medical-center-biddeford,MaineHealth,MaineHealth + Tufts,true,false,2026-05-02T05:00:06.504Z,DUPLICATE_ONLY,MaineHealth Biddeford visiting medical student elective,2,0,As of 2024 part of MaineHealth MMC. Visiting MS path goes through the MMC umbrella row.,See duplicate log.
