state,county,institutionName,officialWebsite,institutionType,searchTermsTried,pagesOpened,reasonNotFound,searchedAt,notes
ME,Penobscot,Northern Light Eastern Maine Medical Center,https://northernlighthealth.org/Our-System/Eastern-Maine-Medical-Center,academic_medical_center,"""Northern Light"" ""Eastern Maine"" Bangor medical student elective residency rotations",Family Medicine residency + Bangor program; ACGME page,No public visiting medical student elective page surfaced. Resident-focused content only.,2026-05-02T05:00:06.504Z,Direct contact via 207-973-7973 or GME office.
ME,Penobscot,Northern Light Acadia Hospital,https://northernlighthealth.org/Our-System/Acadia-Hospital,hospital,site:northernlighthealth.org Acadia psychiatry residency rotations,Psychiatry residency overview only,No visiting MS / IMG observership program found.,2026-05-02T05:00:06.504Z,Specialty psychiatry only; direct contact recommended.
ME,Kennebec,MaineGeneral Medical Center,https://www.mainegeneral.org/,academic_medical_center,site:mainegeneral.org observership visiting medical student IMG elective,Student Opportunities + Careers pages,~500 student learners/yr but no specific visiting MS / IMG observership landing page found.,2026-05-02T05:00:06.504Z,Reach out to medical education department.
ME,York,UNECOM (University of New England COM),https://www.une.edu/com,medical_school,site:une.edu UNECOM University of New England visiting medical student observership IMG elective,Clerkship + International Rotations pages,"Pages framed for UNE-matriculated DO students; international rotations are outbound for UNE students, not inbound for IMG visitors.",2026-05-02T05:00:06.504Z,No inbound IMG visiting student channel found.
ME,York,York Hospital,https://www.yorkhospital.com/,hospital,"""York Hospital"" Maine observership visiting medical student IMG",Site homepage,No visiting MS / IMG landing page; MGH clinical affiliation only. Pending merger with MaineHealth (LOI signed).,2026-05-02T05:00:06.504Z,Recheck after MaineHealth merger.
ME,Aroostook,Northern Light A.R. Gould Hospital (Presque Isle),,hospital,generic site:northernlighthealth.org A.R. Gould Aroostook visiting medical student,Network listing only,No teaching/observership program publicly listed for this rural hospital.,2026-05-02T05:00:06.504Z,Rural critical-access hospital; unlikely to host visiting MS.
ME,Franklin,Franklin Memorial Hospital (MaineHealth),,hospital,MaineHealth Franklin Memorial visiting medical student,MaineHealth umbrella,Subsumed under MaineHealth MMC — no standalone visiting MS program.,2026-05-02T05:00:06.504Z,Cross-ref MMC umbrella.
ME,Hancock,Maine Coast Memorial / Mount Desert Island Hospital,,hospital,MaineHealth Hancock visiting medical student observership,MaineHealth network listing,Rural community hospital network. No standalone visiting MS program.,2026-05-02T05:00:06.504Z,Subsumed under MaineHealth umbrella.
ME,Knox,Pen Bay Medical Center (MaineHealth),,hospital,MaineHealth Pen Bay visiting medical student observership,MaineHealth network listing,Subsumed under MaineHealth umbrella.,2026-05-02T05:00:06.504Z,Cross-ref MMC umbrella.
ME,Lincoln,LincolnHealth (MaineHealth),,hospital,MaineHealth LincolnHealth visiting medical student observership,MaineHealth network listing,Subsumed under MaineHealth umbrella.,2026-05-02T05:00:06.504Z,Cross-ref MMC umbrella.
ME,Oxford,Stephens Memorial Hospital (MaineHealth),,hospital,MaineHealth Stephens Memorial visiting medical student,MaineHealth network listing,Subsumed under MaineHealth umbrella.,2026-05-02T05:00:06.504Z,Cross-ref MMC umbrella.
ME,Piscataquis,Mayo Regional Hospital,,hospital,Mayo Regional Maine visiting medical student observership,Independent rural hospital,No teaching/observership program publicly listed.,2026-05-02T05:00:06.504Z,"Rural, low likelihood."
ME,Sagadahoc,Mid Coast Hospital (MaineHealth),,hospital,MaineHealth Mid Coast visiting medical student observership,MaineHealth network listing,Subsumed under MaineHealth umbrella.,2026-05-02T05:00:06.504Z,Cross-ref MMC umbrella.
ME,Somerset,Redington-Fairview General Hospital,,hospital,Redington-Fairview Maine visiting medical student observership,Independent community hospital,No teaching/observership program publicly listed.,2026-05-02T05:00:06.504Z,"Rural, low likelihood."
ME,Waldo,Waldo County General Hospital (MaineHealth),,hospital,MaineHealth Waldo County visiting medical student,MaineHealth network listing,Subsumed under MaineHealth umbrella.,2026-05-02T05:00:06.504Z,Cross-ref MMC umbrella.
ME,Washington,Down East Community Hospital / Calais Regional,,hospital,Down East Community Calais Regional Maine visiting medical student,Independent rural hospitals,No teaching/observership program publicly listed.,2026-05-02T05:00:06.504Z,"Rural, low likelihood."
