bridge_field,runtime_card_field,upmc_value,lincoln_value,mapping_rule,notes
bridge_row_id,listing_id,pilot-011-PA-upmc-western-psychiatric-hospital,pilot-012-NY-nyc-health-hospitals-lincoln,Use canonical pilot-NN-STATE-slug pattern matching active 5 rows,IDs preserve T7 queue's pilot_selection_id while adopting active runtime's slug-with-state pattern
institution_name,institution_name,UPMC Western Psychiatric Hospital,NYC Health + Hospitals/Lincoln,Verbatim from bridge,Not modified
campus_name,campus_name,System-level UPSOM/UPMC source — Western Psychiatric site placement not separately enumerated,System-level NYC H+H MOSAIC source — Lincoln site placement not separately enumerated,Use the system-level caveat as campus_name (mirrors CC Hillcrest pattern),This is the safest place to surface the no-site-guarantee caveat in the existing UI
state,state,PA,NY,Two-letter US state,Validator requires this format
n/a,county,empty,empty,Not surfaced from bridge schema,Active 5 cards also leave county empty in most cases
n/a,specialty,multispecialty_visiting_psychiatry_step2_required,multispecialty_visiting_em_site_specific_secondary,Encode key specialty constraints in the slug,UPMC: psychiatry needs Step 2 / Lincoln: EM source is supplementary
opportunity_type,opportunity_type,Visiting elective,Visiting elective,Verbatim,Same value as active 5 cards
n/a,source_page_type,SYSTEM_PAGE,SYSTEM_PAGE,Both rows are system-level sources,Active CC Hillcrest also uses SYSTEM_PAGE
n/a,listing_role,PUBLIC_OPPORTUNITY,PUBLIC_OPPORTUNITY,Same as active cards,Standard role
public_pilot_category,display_bucket,READY_PUBLIC_IMG_RELEVANT,READY_PUBLIC_US_STUDENT_ONLY,Map T7 enum to UI's display_bucket,UPMC's international program supports international students; Lincoln is US-only
audience_detail,eligible_audiences[],US_MD_DO + INTERNATIONAL_STUDENT,US_MD_DO,Map ELIGIBLE_EXPLICIT and ONLY_IF_AFFILIATED to active cards' audience array,UPMC's international program serves international students with final-year-only carveout
audience_detail,excluded_audiences[],IMG_GRADUATE,INTERNATIONAL_STUDENT + IMG_GRADUATE + CARIBBEAN_STUDENT,Map EXCLUDED_EXPLICIT,UPMC excludes graduates explicitly; Lincoln excludes all non-US-LCME/AOA
audience_detail,unknown_audiences[],CARIBBEAN_STUDENT,empty,Map UNKNOWN_NOT_STATED,UPMC silent on Caribbean for international program
audience_detail,audience_detail{4 keys},us_md_do=ELIGIBLE_EXPLICIT/international_student=ONLY_IF_AFFILIATED/img_graduate=EXCLUDED_EXPLICIT/caribbean_student=UNKNOWN_NOT_STATED,us_md_do=ELIGIBLE_EXPLICIT/international_student=EXCLUDED_EXPLICIT/img_graduate=EXCLUDED_EXPLICIT/caribbean_student=EXCLUDED_EXPLICIT,4-key object exactly matching bridge audience_detail JSON,Lincoln correctly excludes all non-US categories
visa_tags + public_limitations,restriction_tags[],LCME_AOA_ONLY/MS4_ONLY/VSLO_EXCEPT_SGUSOM/FEE_REQUIRED/MAX_TWO_APPLICATIONS/VISA_APPLICANT_OBTAINED_B1/NO_J1_SPONSORSHIP/NO_H1B_SPONSORSHIP/SYSTEM_PAGE_SOURCE_NO_WPIC_SPECIFIC_GUARANTEE/STEP_2_REQUIRED_FOR_PSYCHIATRIC_ELECTIVE/NO_OBSERVERSHIP_FOR_GRADUATES,LCME_AOA_ONLY/FEE_NOT_MENTIONED/STIPEND_PROVIDED/HOUSING_STIPEND_NON_NYC_METRO/SYSTEM_PAGE_SOURCE_NO_LINCOLN_SPECIFIC_GUARANTEE/EM_SITE_SPECIFIC_SECONDARY_SOURCE/URM_ENCOURAGED,Use existing tag tokens where possible plus new tokens; new tokens display as lowercase-with-spaces via UI fallback,New tokens (SYSTEM_PAGE_SOURCE_NO_WPIC_SPECIFIC_GUARANTEE / SYSTEM_PAGE_SOURCE_NO_LINCOLN_SPECIFIC_GUARANTEE / STEP_2_REQUIRED_FOR_PSYCHIATRIC_ELECTIVE / NO_OBSERVERSHIP_FOR_GRADUATES / STIPEND_PROVIDED / HOUSING_STIPEND_NON_NYC_METRO / EM_SITE_SPECIFIC_SECONDARY_SOURCE / URM_ENCOURAGED) will need RESTRICTION_TAG_LABELS entries when runtime-generation sprint runs
public_limitations,fit_warnings[],LCME_AOA_ONLY/FEE_REQUIRED/MS4_ONLY/SYSTEM_PAGE_SOURCE_NO_WPIC_SPECIFIC_GUARANTEE,LCME_AOA_ONLY/SYSTEM_PAGE_SOURCE_NO_LINCOLN_SPECIFIC_GUARANTEE/STIPEND_PROVIDED,Subset of restriction_tags shown as amber pills,Highest-priority caveats only; full tag list goes in expandable details
official_source_url,official_source_url,https://www.medstudentaffairs.pitt.edu/visiting-students,https://www.nychealthandhospitals.org/mosaic/visiting-scholars-program/,Verbatim from bridge,Primary source per row
n/a,application_url,empty,empty,Not in active 5 cards either,Application path is documented in restriction_tags or bridge layer
source_status,source_status,OFFICIAL_SOURCE_ARCHIVED,OFFICIAL_SOURCE_ARCHIVED,Verbatim from bridge,Validator-recognized
last_reviewed,last_reviewed_at,2026-05-09T00:00:00Z,2026-05-09T00:00:00Z,ISO 8601 with Z,Hydration-safe ISO prefix slicing already applied in UI
archive_url,n/a (in evidence manifest only),https://web.archive.org/web/20260509181911/...,https://web.archive.org/web/20260412100521/...,Active runtime card schema does not carry archive_url; preserved in evidence manifest,
