source_row_id,institution_name,city,state,source_strength,audience_status,visa_status,application_status,cost_status,site_specificity_status,public_copy_risk,runtime_relevance,curator_status,curator_reason,required_before_bridge_input,required_before_runtime,recommended_next_action,notes
promo3-06-FL-jackson-memorial-hospital,Jackson Memorial Hospital,Miami-Dade,FL,STRONG_DIRECT,US_LCME_AOA_ONLY_CARIB_IMG_INTL_EXCLUDED,NOT_MENTIONED,SAFE_VIA_UM_MILLER_SOM_VISITING_STUDENTS,NOT_MENTIONED,SYSTEM_LEVEL_UM_MILLER_SOM_PAGE_NO_JACKSON_MEMORIAL_SITE_GUARANTEE,MODERATE_CONTAINED_BY_CAVEAT_STACK,HIGH_PUBLIC_HOSPITAL,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only LCME with system-level (UMiller) source; mirror CCF Mercy / CC Hillcrest pattern,Manual PNG capture before runtime (B-006-style),Curator-signed PNG waiver for DRAFT-only,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1 followed by bridge validation; runtime activation after,Live capture succeeded; existing Wayback April 2024 snapshot HEAD-verified
promo3-08-NY-mount-sinai-hospital,Mount Sinai Hospital,New York,NY,STRONG_DIRECT,US_LCME_AOA_ONLY,NOT_MENTIONED,SAFE_VIA_ICAHN_VISITING_LCME,NOT_MENTIONED,SYSTEM_LEVEL_ICAHN_PAGE,HIGH,HIGH_AMC,NEEDS_EVIDENCE_HARDENING,HTML fetch blocked (HTTP 403) by Mount Sinai bot defense; cannot land HTML snapshot for DRAFT this sprint,Mac-local HTML snapshot via authenticated browser OR alternate fetch path; manual PNG,Same as required-before-bridge-input,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1 (Mount Sinai is the bot-defense case),Bot defense pattern matches Pitt SOM from Sprint 5 — same fallback approach
promo3-09-NC-duke-university-hospital,Duke University Hospital,Durham,NC,STRONG_DIRECT,US_LCME_AOA_ONLY,NOT_MENTIONED,SAFE_VIA_DUKE_REGISTRAR_VISITING_STUDENTS,NOT_MENTIONED,SITE_LEVEL_DUKE_HOSPITAL,LOW,HIGH_AMC,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only Tier-1; Duke SOM affiliate,Manual PNG capture before runtime,Curator-signed PNG waiver for DRAFT-only,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Live capture succeeded; sprint-fresh Wayback landed
promo3-10-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,Cook,IL,STRONG_DIRECT,US_LCME_AOA_ONLY,NOT_MENTIONED,SAFE_VIA_FEINBERG_VISITING_STUDENTS,NOT_MENTIONED,SYSTEM_LEVEL_FEINBERG_PAGE,LOW,HIGH_AMC,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only Tier-1; Feinberg SOM affiliate,Manual PNG capture before runtime,Curator-signed PNG waiver for DRAFT-only,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Live capture succeeded; sprint-fresh Wayback landed
promo3-11-PA-hospital-of-the-university-of-pennsylvania,Hospital of the University of Pennsylvania,Philadelphia,PA,STRONG_DIRECT,US_LCME_AOA_ONLY,NOT_MENTIONED,SAFE_VIA_PERELMAN_SOM_VISITING_STUDENTS,NOT_MENTIONED,SYSTEM_LEVEL_PERELMAN_PAGE,LOW,HIGH_AMC,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only Tier-1; Perelman SOM affiliate,Manual PNG capture before runtime,Curator-signed PNG waiver for DRAFT-only,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Live capture succeeded; sprint-fresh Wayback landed
promo3-12-NY-nyu-langone-health-tisch-hospital,NYU Langone Health - Tisch Hospital,New York,NY,STRONG_DIRECT,US_LCME_AOA_ONLY,NOT_MENTIONED,SAFE_VIA_GROSSMAN_SOM_VISITING_STUDENTS,NOT_MENTIONED,SITE_LEVEL_TISCH,LOW,HIGH_AMC,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only Tier-1; NYU Grossman SOM affiliate,Manual PNG capture before runtime,Curator-signed PNG waiver for DRAFT-only,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Live capture succeeded; sprint-fresh Wayback landed
promo3-17-TX-methodist-hospital,Methodist Hospital,Bexar,TX,MODERATE_DIRECT_WITH_CAVEATS,US_LCME_AOA_ONLY_PER_HCA_GME,NOT_MENTIONED,HCA_GME_LOCATION_PAGE,NOT_MENTIONED,SYSTEM_LEVEL_HCA_GME_PAGE,MODERATE,MEDIUM_HCA_GME,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only via HCA GME; San Antonio location,Manual PNG capture before runtime,Curator-signed PNG waiver for DRAFT-only,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Live capture succeeded; sprint-fresh Wayback landed
promo3-25-IN-indiana-university-health-methodist-hospital,Indiana University Health Methodist Hospital,Marion,IN,STRONG_DIRECT,US_LCME_AOA_ONLY,NOT_MENTIONED,SAFE_VIA_IU_SOM_GUEST_STUDENTS,NOT_MENTIONED,SITE_LEVEL_IU_METHODIST,LOW,HIGH_AMC,APPROVED_WITH_PUBLIC_COPY_CARVEOUT,Class B US-only Tier-1A; IU SOM affiliate,Manual PNG capture before runtime,Curator-signed PNG waiver for DRAFT-only,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Live capture succeeded; sprint-fresh Wayback landed
promo3-02-MN-mayo-clinic-hospital-saint-marys,Mayo Clinic Hospital - Saint Marys Campus,Olmsted,MN,STRONG_DIRECT,BROAD_IMG_CARIB_INTL_PER_T7,NOT_MENTIONED,MAYO_VISITING_MS_CLERKSHIPS,MAYO_PROVIDED_FREE,SITE_LEVEL_MAYO_SAINT_MARYS,HIGH,HIGH_AMC,NEEDS_EVIDENCE_HARDENING,Mayo system page claims broad eligibility — Class-A claim that needs Mac-local Tier-A+ verification before public copy,Manual PNG + verbatim quote capture confirming the broad-IMG language,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Tier-1 AMC; broad-IMG claim has highest reputational risk if mis-stated,Mayo system uses one URL for all 3 Mayo sites — split-site mapping issue
promo3-04-NY-nyp-columbia,NewYork-Presbyterian Hospital - Columbia University Medical Center,New York,NY,STRONG_DIRECT,BROAD_IMG_CARIB_INTL_PER_T7,NOT_MENTIONED,COLUMBIA_VAGELOS_VISITING_PROGRAM,NOT_MENTIONED,SITE_LEVEL_COLUMBIA_VAGELOS,HIGH,HIGH_AMC,NEEDS_EVIDENCE_HARDENING,Vagelos visiting program Class-A claim needs verification,Manual PNG + verbatim quote,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Tier-1 AMC,
