sprint_number,sprint_name,goal,expected_output,why_it_moves_main_goal,what_not_to_do,success_metric,stop_condition
1,P97-QUEUE-4-SESSION-1-SCREENING,Screen 25 Session-1 rows; produce evidence triples or stop conditions per row,~25 HTML+PNG+Wayback+quote sets OR documented stop reasons; Session-1 row_status CSV,Adds 12-15 new bridge-input candidates to the funnel,No active runtime change; no staged data change; no FREIDA/ACGME scraping,12-15 of 25 rows reach EVIDENCE_TRIPLE_COMPLETE,If yield drops below 8/25 stop and diagnose
2,P97-QUEUE-4-SESSION-1-CURATOR-PASS,Curator review of Session-1 results; classify each row into bridge-ready / partial / needs-hardening / keep-internal / wrong-lane,Session-1 curator decision CSV; bridge-input DRAFT for accepted rows,Filters Session-1 down to actionable rows; same shape as Promotion-Batch-3 curator pass,No public copy expansion; no caveat removal; no broad-IMG without source,Bridge-input DRAFT containing 8-12 of 25 rows,If curator rejects more than 50% diagnose source rules
3,P97-QUEUE-4-SESSION-1-EVIDENCE-HARDENING,Promote Session-1 DRAFT to VALIDATED_BRIDGE_INPUT — Wayback save retries + per-site source resolution + verbatim quote landing,VALIDATED_BRIDGE_INPUT CSV with 6-10 hardened rows,Same as Batch-3 evidence-hardening sprint; this is the bottleneck step,No new evidence capture beyond hardening; no random rows; no PNG with embedded keys,6-10 rows pass bridge-input validator,
4,P99-P97-STAGED-RUNTIME-BATCH-4-DATA-ONLY,Build staged batch 4 data file from VALIDATED_BRIDGE_INPUT,public-listings-pilot-staged-batch-4.generated.{json,ts} with active 10 + new 6-10,Mirrors batch-3 staging; NOT imported by app,No active runtime change; no app import; data-only,Staged batch 4 validator PASS,
5,P99-P97-STAGED-RUNTIME-BATCH-4-REPORT-ISSUE-MAPPING,Map new staged batch 4 rows for /contact / correction intake,Listing map + evidence join map + correction payload map for new rows,Mirrors batch-3 mapping; pure docs,No /contact UI change; no endpoint change,Mapping validator PASS,
6,P99-P97-STAGED-RUNTIME-BATCH-4-PROMOTION-CANDIDATE-AUDIT,Audit new staged batch 4; pick 1-3 safest noindex activation candidates,Shortlist + defer reasons + preflight checklist,Mirrors batch-3 audit; pure docs,No activation; no env-flag flip,Shortlist 1-3 rows,
7,P99-P97-STAGED-RUNTIME-BATCH-4-NOINDEX-ACTIVATION-SLICE-N,Activate 1-3 audit-shortlisted rows into noindex pilot,Active count grows from 10 to 11-13; rollback plan; browser QA,Real product growth — same shape as Slices 1+2,No production deploy; no public launch; trivially reversible,Active count grows; browser QA PASS; zero console errors,
8,P97-QUEUE-4-SESSION-2-SCREENING,Screen the next 25 Session-2 rows from the 100-row Queue 4,Session-2 evidence artifacts + row_status,Continues filling the funnel,Same as Session 1,12-15 of 25 reach EVIDENCE_TRIPLE_COMPLETE,
9,P97-QUEUE-4-SESSION-2-CURATOR-PASS,Curator pass for Session 2,Session-2 bridge-input DRAFT,Same as Session 1 curator pass,Same,8-12 rows pass curator,
10,STRATEGIC-CHECKPOINT-2-AND-DECISION,Strategic checkpoint after Session 2 — decide Session 3 vs production-ready slice vs other lane,Decision doc + scoreboard delta + 10-sprint plan v2,Avoids endless screening if active runtime is "enough"; opens door to production-ready discussion if 20+ active and stable,No premature production push; no homepage exposure,Cleared decision; either continue with Session 3 or pivot,
