p101_1_rank,original_queue_rank,institution_name,state,city,official_domain_if_known,duplicate_status,why_selected,source_of_selection,search_status
1,31,UCSF Medical Center,CA,San Francisco,ucsfhealth.org / medschool.ucsf.edu,IN_NOINDEX_PILOT_NO_P101_PACKET,P0 AMC; CA depth; in queue_4_candidate_rows.csv rank 31; was in Session-1 ready-set; in noindex active runtime but has no P101 packet on disk,queue_4_candidate_rows.csv rank 31,QUEUED
2,32,UCLA Ronald Reagan Medical Center,CA,Los Angeles,uclahealth.org / medschool.ucla.edu,IN_SESSION_1_RUNS_NO_P101_PACKET,P0 AMC; CA depth; Geffen SOM affiliate; was in Session-1 ready-set but did NOT pass bridge validation; no P101 packet on disk,queue_4_candidate_rows.csv rank 32,QUEUED
3,33,UC San Diego Health,CA,La Jolla,health.ucsd.edu,NEW_NO_PRIOR_PACKET,P1 AMC; CA depth; UCSD SOM affiliate,queue_4_candidate_rows.csv rank 33,QUEUED
4,34,UC Davis Medical Center,CA,Sacramento,health.ucdavis.edu,NEW_NO_PRIOR_PACKET,P1 AMC; CA depth; UC Davis SOM affiliate,queue_4_candidate_rows.csv rank 34,QUEUED
5,35,Stanford Health Care,CA,Stanford,stanfordhealthcare.org / med.stanford.edu,IN_SESSION_1_RUNS_NO_P101_PACKET,P0 AMC; CA depth; Stanford SOM affiliate; was in Session-1 ready-set but did NOT pass bridge validation; no P101 packet on disk,queue_4_candidate_rows.csv rank 35,QUEUED
6,36,Keck Hospital of USC,CA,Los Angeles,keckmedicine.org,NEW_NO_PRIOR_PACKET,P1 AMC; CA depth; USC Keck SOM affiliate,queue_4_candidate_rows.csv rank 36,QUEUED
7,37,Vanderbilt University Medical Center,TN,Nashville,vanderbilthealth.com / medschool.vanderbilt.edu,IN_NOINDEX_PILOT_NO_P101_PACKET,P0 AMC; TN depth; in active runtime via overnight P99 work but has no P101 packet on disk,queue_4_candidate_rows.csv rank 37,QUEUED
8,38,Barnes-Jewish Hospital / Washington University,MO,Saint Louis,barnesjewish.org / medicine.wustl.edu,IN_SESSION_1_RUNS_NO_P101_PACKET,P0 AMC; MO depth; WashU SOM affiliate; was in Session-1 ready-set but did NOT pass bridge validation; no P101 packet on disk,queue_4_candidate_rows.csv rank 38,QUEUED
9,39,Emory University Hospital,GA,Atlanta,emoryhealthcare.org / med.emory.edu,NEW_NO_PRIOR_PACKET,P1 AMC; GA depth; Emory SOM affiliate,queue_4_candidate_rows.csv rank 39,QUEUED
10,40,Michigan Medicine - University Hospital,MI,Ann Arbor,uofmhealth.org / medicine.umich.edu,NEW_NO_PRIOR_PACKET,P0 AMC; MI depth; U-Michigan SOM affiliate,queue_4_candidate_rows.csv rank 40,QUEUED
