listing_id,institution_id,institution_name,campus_name,parent_system,state,county,city,specialty,opportunity_type,source_page_type,listing_role,audience_eligibility,student_eligibility,graduate_eligibility,img_eligibility_raw,public_ready_us_md_do,public_ready_international_student,public_ready_img_graduate,public_ready_caribbean_student,public_ready_observer,us_md_do_status,international_student_status,img_graduate_status,caribbean_student_status,vslo_required,affiliation_required,hands_on_level,observership_only,lor_possible,evaluation_possible,application_method,application_url,official_source_url,source_status,source_quote_eligibility,source_quote_type,source_quote_fee,source_quote_deadline,fee_status,fee_amount,duration,deadline_status,contact_status,contact_email_or_url,last_reviewed_at,identity_status_from_p98_6,source_packet_path,extraction_notes
ME-001,ME-cumberland-001,Maine Medical Center (MMC),,MaineHealth,ME,Cumberland,,multispecialty,Elective,POLICY_HUB,SUPPORTING_SOURCE,Senior medical students in good standing; LCME-accredited (per VSLO standards); preference per specialty,YES,NO,NO,UNKNOWN,NO,NO,NO,UNKNOWN,INTERNAL_REVIEW_REQUIRED,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,YES,UNKNOWN,CLINICAL,NO,UNKNOWN,UNKNOWN,VSLO,https://meded.mainehealth.org/meded/MedStudentApp/electives.aspx/,https://www.mainehealth.org/maine-medical-center/education-research/undergraduate-medical-education/visiting-medical-student-electives-mainehealth-maine-medical-center,OFFICIAL_PROGRAM_PAGE,Senior medical students in good standing; LCME-accredited (per VSLO standards); preference per specialty,Elective,See specialty pages,Per-specialty cohorts,UNKNOWN,See specialty pages,4 weeks per specialty,COHORT_BASED,CONTACT_FOUND,UME_MedEd@mainehealth.org,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,Strong canonical visiting MS page; verify IMG eligibility before public listing.
ME-002,ME-kennebec-002,Togus VA Medical Center,,VHA,ME,Kennebec,,multispecialty,Elective,OFFICIAL_DEPARTMENT_PAGE,SUPPORTING_SOURCE,Affiliation-routed; no direct application,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,INTERNAL_REVIEW_REQUIRED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN,YES,CLINICAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,https://www.va.gov/maine-health-care/locations/togus-va-medical-center/,OFFICIAL_DEPARTMENT_PAGE,Affiliation-routed; no direct application,Elective,See affiliated programs,,UNKNOWN,See affiliated programs,Variable,UNKNOWN,NO_CONTACT_FOUND,,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,,VA-affiliated path; not a standalone listing — likely subsumed under MMC/EMMC.
ME-003,ME-androscoggin-001,Central Maine Medical Center / Central Maine Healthcare,,Central Maine Healthcare,ME,Androscoggin,,multispecialty,Clerkship,POLICY_HUB,SUPPORTING_SOURCE,3rd/4th-year MS at home medical school,YES,NO,YES,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,INTERNAL_REVIEW_REQUIRED,ELIGIBLE_EXPLICIT,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN,UNKNOWN,CLINICAL,NO,UNKNOWN,UNKNOWN,ONLINE_PORTAL,https://www.cmhc.org/health-professionals/residency-programs-and-fellowship/medical-students/,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,OFFICIAL_PROGRAM_PAGE,3rd/4th-year MS at home medical school,Clerkship,Clerkship fees unspecified,,FEE_CHARGED,Clerkship fees unspecified,3rd/4th-year clerkship blocks,UNKNOWN,NO_CONTACT_FOUND,,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,,Clerkship-only path explicitly open to international MS; verify before public listing as USCE.
ME-004,ME-cumberland-001,Maine Medical Center / General Surgery,,MaineHealth,ME,Cumberland,,general_surgery,Sub-internship,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,4th-year MS at AAMC-accredited US medical school,YES,NO,NO,YES,NO,NO,NO,UNKNOWN,ELIGIBLE_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,UNKNOWN,UNKNOWN,CLINICAL,NO,UNKNOWN,UNKNOWN,EMAIL,,https://www.mainehealth.org/maine-medical-center/education-research/students-residents-fellows/residencies/general-surgery/rotations-electives,OFFICIAL_PROGRAM_PAGE,4th-year MS at AAMC-accredited US medical school,Sub-internship,Free,,NO_FEE,Free,3rd yr 8wk; AI 4wk,UNKNOWN,CONTACT_FOUND,val.parziale@mainehealth.org,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,US-only path; verify IMG before public listing.
ME-005,ME-cumberland-001,Maine Medical Center / Emergency Medicine,,MaineHealth,ME,Cumberland,,emergency_medicine,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,"Senior MS, good academic standing, preference EM-bound",YES,NO,NO,YES,NO,NO,NO,UNKNOWN,ELIGIBLE_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,YES,UNKNOWN,CLINICAL,NO,UNKNOWN,UNKNOWN,VSLO,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/emergency-medicine-residency/medical-student-elective-emergency-medicine-residency,OFFICIAL_PROGRAM_PAGE,"Senior MS, good academic standing, preference EM-bound",Elective,Housing at student expense,,UNKNOWN,Housing at student expense,"1 month, no partial",UNKNOWN,CONTACT_FOUND,UME_MedEd@mmc.org / kcmurphy@mmc.org,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,Standard US visiting MS path.
ME-006,ME-cumberland-001,Maine Medical Center / Anesthesiology,,MaineHealth,ME,Cumberland,,anesthesiology,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,4th-yr MS approved by AAMC + AACOM,YES,NO,NO,YES,NO,NO,NO,UNKNOWN,ELIGIBLE_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,YES,UNKNOWN,CLINICAL,NO,UNKNOWN,UNKNOWN,VSLO,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/anesthesiology-residency/medical-student-elective,OFFICIAL_PROGRAM_PAGE,4th-yr MS approved by AAMC + AACOM,Elective,Not stated,,UNKNOWN,Not stated,4 wks,UNKNOWN,CONTACT_FOUND,laurie.kent@mainehealth.org,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,US-only.
ME-007,ME-cumberland-001,Maine Medical Center / Interventional Radiology,,MaineHealth,ME,Cumberland,,interventional_radiology,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,3rd or 4th-yr LCME/AOACOA student,YES,NO,NO,YES,NO,NO,NO,UNKNOWN,ELIGIBLE_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,UNKNOWN,UNKNOWN,CLINICAL,NO,UNKNOWN,UNKNOWN,EMAIL,,https://www.mainehealth.org/Maine-Medical-Center/Education-Research/Students-Residents-Fellows/Residencies/Interventional-Radiology/Medical-Student-Elective,OFFICIAL_PROGRAM_PAGE,3rd or 4th-yr LCME/AOACOA student,Elective,Not stated,,UNKNOWN,Not stated,2-4 wks,UNKNOWN,CONTACT_FOUND,kimberly.murphy@mainehealth.org,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,US-only.
ME-008,ME-cumberland-001,Maine Medical Center / Family Medicine,,MaineHealth,ME,Cumberland,,family_medicine,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,4th-yr MS,YES,NO,NO,YES,NO,NO,NO,UNKNOWN,ELIGIBLE_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,YES,UNKNOWN,CLINICAL,NO,UNKNOWN,UNKNOWN,VSLO,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/family-medicine-residency/medical-student-rotations,OFFICIAL_PROGRAM_PAGE,4th-yr MS,Elective,Not stated,,UNKNOWN,Not stated,1 month,UNKNOWN,NO_CONTACT_FOUND,,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,Multiple FM electives; AI = sub-I.
ME-009,ME-cumberland-001,Maine Medical Center / Pediatrics (Barbara Bush Children Hospital),,MaineHealth,ME,Cumberland,,pediatrics,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,Visiting students nationwide,YES,NO,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ELIGIBLE_EXPLICIT,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN,UNKNOWN,CLINICAL,NO,UNKNOWN,UNKNOWN,EMAIL,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/pediatrics-residency,OFFICIAL_DEPARTMENT_PAGE,Visiting students nationwide,Elective,Not stated,,UNKNOWN,Not stated,Variable,UNKNOWN,CONTACT_FOUND,Zachary.Wildes@mainehealth.org,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,Most permissive MMC specialty page; verify IMG eligibility.
ME-010,ME-cumberland-001,Maine Medical Center / Psychiatry,,MaineHealth,ME,Cumberland,,psychiatry,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,MS,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN,UNKNOWN,CLINICAL,NO,UNKNOWN,UNKNOWN,UNKNOWN,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/general-psychiatry-residency/medical-student-electives-general-psychiatry-residency,OFFICIAL_PROGRAM_PAGE,MS,Elective,,,UNKNOWN,,,UNKNOWN,CONTACT_FOUND,Mary Liberty / 207-662-2733,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,Sub-page found via parent navigation; need separate fetch.
ME-011,ME-cumberland-001,Maine Medical Center / Diagnostic Radiology,,MaineHealth,ME,Cumberland,,diagnostic_radiology,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,MS,YES,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN,UNKNOWN,CLINICAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/diagnostic-radiology-residency/medical-student-opportunities-diagnostic-radiology-residency,OFFICIAL_PROGRAM_PAGE,MS,Elective,,,UNKNOWN,,,UNKNOWN,CONTACT_FOUND,radrespm@mainehealth.org / Shawn Harmon 207-662-4279,2026-05-03,NPPES_ONLY_CAMPUS_MATCH,p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,Sub-page found via parent navigation; needs verification.
