schema_version,queue_id,scope_type,scope_value,rank,institution_id,canonical_name,state,county,city,official_domain,target_lanes,priority,why_included,status,assigned_run_id,locked_at,completed_at,next_action,notes
p102-0r-1,p102_gold_set,INSTITUTION,cleveland-clinic-florida,1,inst_cleveland_clinic_florida,Cleveland Clinic Florida,FL,Broward,Weston,my.clevelandclinic.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT|INTERNATIONAL_MEDICAL_STUDENT,HIGH,Gold 1: clear international medical student program test,DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Gold-set entry; do not run until model reader is online
p102-0r-1,p102_gold_set,INSTITUTION,vanderbilt-vumc,2,inst_vanderbilt_vumc,Vanderbilt University Medical Center,TN,Davidson,Nashville,vumc.org,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HIGH,Gold 2: clear US MD/DO VSLO-only test,DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Gold-set entry; do not run until model reader is online
p102-0r-1,p102_gold_set,INSTITUTION,houston-methodist-hospital,3,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Harris,Houston,houstonmethodist.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,HIGH,Gold 3: clear IMG observership test (P102 Trial 2 found stale /observership redirect; gold-set re-tests with expanded paths),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Already in Trial 2; gold-set entry to verify recovery
p102-0r-1,p102_gold_set,INSTITUTION,mayo-clinic-rochester,4,inst_mayo_clinic_rochester_mn,Mayo Clinic,MN,Olmsted,Rochester,mayoclinic.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,HIGH,Gold 4: no public lane with explicit negative quote test,DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Gold-set entry; do not run until model reader is online
p102-0r-1,p102_gold_set,INSTITUTION,hartford-hospital,5,inst_hartford_hospital_ct,Hartford Hospital,CT,Hartford,Hartford,hartfordhospital.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,MEDIUM,Gold 5: no public lane by absence after broad search test (already in Trial 1),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Already in Trial 1; gold-set entry to verify regression
p102-0r-1,p102_gold_set,INSTITUTION,adventhealth-orlando,6,inst_adventhealth_orlando_fl,AdventHealth Orlando,FL,Orange,Orlando,adventhealth.com,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT|RESIDENCY_PROGRAM_INFO,MEDIUM,Gold 6: parent system ambiguity test (already in Trial 2),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Already in Trial 2; gold-set entry to verify regression
p102-0r-1,p102_gold_set,INSTITUTION,brigham-and-womens-hospital,7,inst_brigham_and_womens_hospital_ma,Brigham and Women's Hospital,MA,Suffolk,Boston,brighamandwomens.org,VISITING_MEDICAL_STUDENT|IMG_OBSERVERSHIP,HIGH,Gold 7: medical-school-level source ambiguity test (BWH + HMS),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Gold-set entry; do not run until model reader is online
p102-0r-1,p102_gold_set,INSTITUTION,brooklyn-hospital-center,8,inst_brooklyn_hospital_center_ny,The Brooklyn Hospital Center,NY,Kings,Brooklyn,tbh.org,IMG_OBSERVERSHIP|RESIDENCY_PROGRAM_INFO,MEDIUM,Gold 8: GME-rich but no USCE test (already in Trial 2),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Already in Trial 2; gold-set entry to verify regression
p102-0r-1,p102_gold_set,INSTITUTION,northwell-staten-island-univ-hospital,9,inst_northwell_staten_island_uh_ny,Northwell Staten Island University Hospital,NY,Richmond,Staten Island,northwell.edu,CAREERS_PAGE|H1B_SPONSORSHIP_SIGNAL|J1_WAIVER_SIGNAL,MEDIUM,Gold 9: jobs/visa-rich test (high futureLaneValue expected),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Gold-set entry; do not run until model reader is online
p102-0r-1,p102_gold_set,INSTITUTION,boston-medical-center,10,inst_boston_medical_center_ma,Boston Medical Center,MA,Suffolk,Boston,bmc.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HIGH,Gold 10: PDF-heavy test (exercises PDF cascade),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Gold-set entry; do not run until model reader is online
p102-0r-1,p102_gold_set,INSTITUTION,michigan-medicine,11,inst_michigan_medicine_mi,Michigan Medicine,MI,Washtenaw,Ann Arbor,uofmhealth.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,HIGH,Gold 11: bot-block / timeout test (P101-1 bot-blocked),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Gold-set entry; overage entry (10 official + 1 bot-block); do not run until model reader is online
