input_group,row_id,institution_name,city,state,source_file,evidence_status,bridge_validator_status,audience_caveat,visa_caveat,application_caveat,cost_caveat,site_scope_caveat,runtime_decision,notes
ACTIVE_5_UNCHANGED,pilot-001-NJ-morristown-medical-center,Morristown Medical Center,Morristown,NJ,src/data/usce/public-listings-pilot.generated.json,ACTIVE_RUNTIME,N_A_ALREADY_ACTIVE,NAMED_SCHOOLS_ONLY | NO_BROAD_IMG_CLAIM,VSLO_EXCEPT_SGUSOM | NAMED_PARTNER_SGU_SOM,VSLO_EXCEPT_SGUSOM,HOUSING_NOT_PROVIDED,SPECIALTY_PAGE,COPIED_VERBATIM,Active card preserved exactly
ACTIVE_5_UNCHANGED,pilot-002-NJ-overlook-medical-center,Overlook Medical Center,Summit,NJ,src/data/usce/public-listings-pilot.generated.json,ACTIVE_RUNTIME,N_A_ALREADY_ACTIVE,NAMED_SCHOOLS_ONLY | NO_BROAD_IMG_CLAIM,VSLO_EXCEPT_SGUSOM | NAMED_PARTNER_SGU_SOM,VSLO_EXCEPT_SGUSOM,HOUSING_NOT_PROVIDED,SPECIALTY_PAGE | SIBLING_SITE_TO_MORRISTOWN,COPIED_VERBATIM,Active card preserved exactly
ACTIVE_5_UNCHANGED,pilot-003-OH-cleveland-clinic-mercy-hospital,Cleveland Clinic Mercy Hospital,Canton,OH,src/data/usce/public-listings-pilot.generated.json,ACTIVE_RUNTIME,N_A_ALREADY_ACTIVE,LCME_AOA_ONLY,VISA_APPLICANT_OBTAINED_B1 | NO_J1_SPONSORSHIP | NO_H1B_SPONSORSHIP,FEE_REQUIRED | MAX_TWO_APPLICATIONS,FEE_REQUIRED,POLICY_HUB,COPIED_VERBATIM,Active card preserved exactly
ACTIVE_5_UNCHANGED,pilot-004-OH-cleveland-clinic-hillcrest-hospital,Cleveland Clinic Hillcrest Hospital,Mayfield Heights,OH,src/data/usce/public-listings-pilot.generated.json,ACTIVE_RUNTIME,N_A_ALREADY_ACTIVE,LCME_AOA_ONLY,VISA_APPLICANT_OBTAINED_B1 | NO_J1_SPONSORSHIP | NO_H1B_SPONSORSHIP,FEE_REQUIRED | MAX_TWO_APPLICATIONS,FEE_REQUIRED,POLICY_HUB | SYSTEM_PAGE_NO_HILLCREST_GUARANTEE,COPIED_VERBATIM,Active card preserved exactly
ACTIVE_5_UNCHANGED,pilot-007-CA-highland-hospital-alameda-health-system,Highland Hospital (Alameda Health System),Oakland,CA,src/data/usce/public-listings-pilot.generated.json,ACTIVE_RUNTIME,N_A_ALREADY_ACTIVE,DIVERSITY_ELIGIBILITY_REQUIRED | MS4_ONLY,UNKNOWN_NOT_STATED,FEE_NOT_MENTIONED,FEE_NOT_MENTIONED,SPECIALTY_PAGE,COPIED_VERBATIM,Active card preserved exactly
PRIOR_STAGED_2_UNCHANGED,pilot-011-PA-upmc-western-psychiatric-hospital,UPMC Western Psychiatric Hospital,Pittsburgh,PA,src/data/usce/public-listings-pilot-staged-batch-2.generated.json,STAGED_BATCH_2,VALIDATED_BRIDGE_INPUT_PRIOR,LCME_AOA_ONLY | MS4_ONLY | NO_OBSERVERSHIP_FOR_GRADUATES,VISA_APPLICANT_OBTAINED_B1 | NO_J1_SPONSORSHIP | NO_H1B_SPONSORSHIP,VSLO_EXCEPT_SGUSOM | FEE_REQUIRED | MAX_TWO_APPLICATIONS | STEP_2_REQUIRED_FOR_PSYCHIATRIC_ELECTIVE,FEE_REQUIRED,SYSTEM_PAGE_SOURCE_NO_WPIC_SPECIFIC_GUARANTEE,COPIED_VERBATIM_FROM_BATCH_2,Prior staged card preserved exactly
PRIOR_STAGED_2_UNCHANGED,pilot-012-NY-nyc-health-hospitals-lincoln,NYC Health + Hospitals/Lincoln,Bronx,NY,src/data/usce/public-listings-pilot-staged-batch-2.generated.json,STAGED_BATCH_2,VALIDATED_BRIDGE_INPUT_PRIOR,LCME_AOA_ONLY | EXCLUDED non-US explicit,N_A_US_ONLY_AUDIENCE,STIPEND_PROVIDED | URM_ENCOURAGED,STIPEND_PROVIDED | HOUSING_STIPEND_NON_NYC_METRO,SYSTEM_PAGE_SOURCE_NO_LINCOLN_SPECIFIC_GUARANTEE | EM_SITE_SPECIFIC_SECONDARY_SOURCE,COPIED_VERBATIM_FROM_BATCH_2,Prior staged card preserved exactly
BATCH_3_NEW_STAGED_7,pilot-013-FL-jackson-memorial-hospital,Jackson Memorial Hospital,Miami,FL,promotion_batch_3_evidence_hardening_1_bridge_input_VALIDATED_CANDIDATE.csv,EVIDENCE_TRIPLE_COMPLETE,VALIDATED_BRIDGE_INPUT,LCME_AOA_ONLY | non-US EXCLUDED,VISA_NOT_MENTIONED_US_ONLY_AUDIENCE | NO_J1_VERIFIED | NO_H1B_VERIFIED,VSLO_PER_UM_MILLER_SOM,COST_NOT_MENTIONED,SYSTEM_PAGE_SOURCE_NO_JACKSON_MEMORIAL_SPECIFIC_GUARANTEE,NEW_STAGED,UM Miller SOM system-level page; site placement not separately enumerated
BATCH_3_NEW_STAGED_7,pilot-014-NC-duke-university-hospital,Duke University Hospital,Durham,NC,promotion_batch_3_evidence_hardening_1_bridge_input_VALIDATED_CANDIDATE.csv,EVIDENCE_TRIPLE_COMPLETE,VALIDATED_BRIDGE_INPUT,LCME_AOA_ONLY | COCA_OSTEO_ALSO_ELIGIBLE | non-US EXCLUDED,VISA_NOT_MENTIONED_US_ONLY_AUDIENCE | NO_J1_VERIFIED | NO_H1B_VERIFIED,VSLO_REQUIRED,COST_NOT_MENTIONED,DUKE_SOM_VISITING_STUDENTS_OFFICE,NEW_STAGED,Duke SOM visiting-students office is the canonical source for Duke University Hospital placement
BATCH_3_NEW_STAGED_7,pilot-015-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,Chicago,IL,promotion_batch_3_evidence_hardening_1_bridge_input_VALIDATED_CANDIDATE.csv,EVIDENCE_TRIPLE_COMPLETE,VALIDATED_BRIDGE_INPUT,LCME_AOA_ONLY | non-US EXCLUDED,VISA_NOT_MENTIONED_US_ONLY_AUDIENCE | NO_J1_VERIFIED | NO_H1B_VERIFIED,VSLO_PER_FEINBERG_SOM,COST_NOT_MENTIONED,SYSTEM_PAGE_SOURCE_NO_NORTHWESTERN_MEMORIAL_SPECIFIC_GUARANTEE,NEW_STAGED,Feinberg SOM system-level page; site placement not separately enumerated
