listing_id,institution_name,state,county,specialty,opportunity_type,completeness_status,completeness_score,max_possible_score,score_official_source,score_eligibility_clarity,score_usce_type_clarity,score_student_grad_clarity,score_img_clarity,score_vslo_affiliation_clarity,score_hands_on_clarity,score_lor_eval_clarity,score_application_method,score_fee_clarity,score_deadline_clarity,score_duration_clarity,score_contact_clarity,score_source_quote_coverage,score_freshness,hard_gates_hit,unknown_fields,fit_warnings,img_eligibility,application_url,official_source_url,source_status,identity_status_from_p98_6,listing_id_ref
ME-001,Maine Medical Center (MMC),ME,Cumberland,multispecialty,Elective,READY_PUBLIC,62,75,5,5,5,5,5,3,5,0,5,0,4,5,5,5,5,,fee|lor_possible,IMG_EXCLUDED|VSLO_REQUIRED,NO,https://meded.mainehealth.org/meded/MedStudentApp/electives.aspx/,https://www.mainehealth.org/maine-medical-center/education-research/undergraduate-medical-education/visiting-medical-student-electives-mainehealth-maine-medical-center,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-001
ME-002,Togus VA Medical Center,ME,Kennebec,multispecialty,Elective,PUBLIC_WITH_UNKNOWN_FIELDS,34,75,4,3,5,5,0,3,3,0,0,0,0,2,0,4,5,,img_eligibility|application_method|application_url|fee|deadline|lor_possible,AFFILIATION_REQUIRED,UNKNOWN,,https://www.va.gov/maine-health-care/locations/togus-va-medical-center/,OFFICIAL_DEPARTMENT_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-002
ME-003,Central Maine Medical Center / Central Maine Healthcare,ME,Androscoggin,multispecialty,Clerkship,READY_PUBLIC,49,75,5,3,5,5,5,0,5,0,5,4,0,3,0,4,5,,deadline|lor_possible,,YES,https://www.cmhc.org/health-professionals/residency-programs-and-fellowship/medical-students/,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-003
ME-004,Maine Medical Center / General Surgery,ME,Cumberland,general_surgery,Sub-internship,READY_PUBLIC,58,75,5,5,5,5,5,0,5,0,4,5,0,5,5,4,5,,deadline|lor_possible,IMG_EXCLUDED,NO,,https://www.mainehealth.org/maine-medical-center/education-research/students-residents-fellows/residencies/general-surgery/rotations-electives,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-004
ME-005,Maine Medical Center / Emergency Medicine,ME,Cumberland,emergency_medicine,Elective,PUBLIC_WITH_UNKNOWN_FIELDS,47,75,5,3,5,5,0,3,5,0,2,0,0,5,5,4,5,,img_eligibility|application_url|fee|deadline|lor_possible,VSLO_REQUIRED,UNKNOWN,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/emergency-medicine-residency/medical-student-elective-emergency-medicine-residency,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-005
ME-006,Maine Medical Center / Anesthesiology,ME,Cumberland,anesthesiology,Elective,READY_PUBLIC,53,75,5,5,5,5,5,3,5,0,2,0,0,5,5,3,5,,application_url|fee|deadline|lor_possible,IMG_EXCLUDED|VSLO_REQUIRED,NO,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/anesthesiology-residency/medical-student-elective,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-006
ME-007,Maine Medical Center / Interventional Radiology,ME,Cumberland,interventional_radiology,Elective,READY_PUBLIC,52,75,5,5,5,5,5,0,5,0,4,0,0,5,5,3,5,,fee|deadline|lor_possible,IMG_EXCLUDED,NO,,https://www.mainehealth.org/Maine-Medical-Center/Education-Research/Students-Residents-Fellows/Residencies/Interventional-Radiology/Medical-Student-Elective,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-007
ME-008,Maine Medical Center / Family Medicine,ME,Cumberland,family_medicine,Elective,PUBLIC_WITH_UNKNOWN_FIELDS,40,75,5,2,5,5,0,3,5,0,2,0,0,5,0,3,5,,img_eligibility|application_url|fee|deadline|lor_possible,VSLO_REQUIRED,UNKNOWN,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/family-medicine-residency/medical-student-rotations,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-008
ME-009,Maine Medical Center / Pediatrics (Barbara Bush Children Hospital),ME,Cumberland,pediatrics,Elective,PUBLIC_WITH_UNKNOWN_FIELDS,41,75,4,3,5,5,0,0,5,0,4,0,0,2,5,3,5,,img_eligibility|fee|deadline|lor_possible,,UNKNOWN,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/pediatrics-residency,OFFICIAL_DEPARTMENT_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-009
ME-010,Maine Medical Center / Psychiatry,ME,Cumberland,psychiatry,Elective,PUBLIC_WITH_UNKNOWN_FIELDS,35,75,5,2,5,5,0,0,5,0,0,0,0,0,5,3,5,,img_eligibility|application_method|application_url|fee|deadline|duration|lor_possible,,UNKNOWN,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/general-psychiatry-residency/medical-student-electives-general-psychiatry-residency,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-010
