session_rank,queue_4_rank,institution_name,city,state,candidate_type,source_lead,official_pages_checked,required_terms_checked,best_official_source_url,best_source_title,source_scope,opportunity_type,audience,application_method,visa_language,cost_language,contact_or_coordinator,source_quote_short,evidence_strength,outcome,public_copy_risk,bridge_readiness,stop_condition,notes
1,1,Providence Alaska Medical Center,Anchorage,AK,STATE_GAP_FILL,https://www.providence.org/locations/ak/providence-alaska-medical-center,https://www.providence.org/locations/ak/providence-alaska-medical-center -> 404 | https://www.providence.org/locations/ak/providence-alaska-medical-center/medical-education -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
2,2,Alaska Native Medical Center,Anchorage,AK,STATE_GAP_FILL,https://anmc.org/,https://anmc.org/ -> 200,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,https://anmc.org/,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,LOW,NOT_READY,no_visiting_ms_program_documented,
3,3,Saint Alphonsus Regional Medical Center,Boise,ID,STATE_GAP_FILL,https://www.saintalphonsus.org/,https://www.saintalphonsus.org/ -> 200,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,https://www.saintalphonsus.org/,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,fee mentioned,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,LOW,NOT_READY,no_visiting_ms_program_documented,
4,5,Billings Clinic,Billings,MT,STATE_GAP_FILL,https://www.billingsclinic.com/,https://www.billingsclinic.com/ -> 403 | https://www.billingsclinic.com/medical-education/ -> 403,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,BLOCKED_LOGIN_OR_CAPTCHA,UNKNOWN,NOT_READY,blocked_or_captcha,
5,7,Wyoming Medical Center,Casper,WY,STATE_GAP_FILL,https://www.banneruwmedicine.org/locations/casper/banner-wyoming-medical-center,https://www.banneruwmedicine.org/locations/casper/banner-wyoming-medical-center -> -1 | https://www.wyomingmedicalcenter.org/ -> -1,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
6,17,Oregon Health and Science University Hospital,Portland,OR,STATE_GAP_FILL_THIN_AMC,https://www.ohsu.edu/school-of-medicine/visiting-medical-students,https://www.ohsu.edu/school-of-medicine/visiting-medical-students -> 404 | https://www.ohsu.edu/school-of-medicine/md-program/visiting-medical-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
7,22,University of Utah Hospital,Salt Lake City,UT,STATE_GAP_FILL_THIN_AMC,https://medicine.utah.edu/students/visiting-students,https://medicine.utah.edu/students/visiting-students -> 404 | https://medicine.utah.edu/students/programs/md/visiting-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
8,23,UCHealth University of Colorado Hospital,Aurora,CO,STATE_GAP_FILL_THIN_AMC,https://medschool.cuanschutz.edu/student-affairs/visiting-students,https://medschool.cuanschutz.edu/student-affairs/visiting-students -> 404 | https://medschool.cuanschutz.edu/student-affairs/programs/visiting-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
9,24,Denver Health Medical Center,Denver,CO,STATE_GAP_FILL_THIN_PUBLIC,https://denverhealth.org/,https://denverhealth.org/ -> 200,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,https://denverhealth.org/,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,NO_RELEVANT_PUBLIC_SOURCE_FOUND,
10,31,UCSF Medical Center,San Francisco,CA,ACADEMIC_MEDICAL_CENTER,https://meded.ucsf.edu/visiting-medical-students,https://meded.ucsf.edu/visiting-medical-students -> 404 | https://medschool.ucsf.edu/visiting-medical-students -> 404,lcme;aoa;coca;vslo;visiting medical student;international;img;observership;externship;elective,,,GENERIC,UNKNOWN,UNCLEAR,,not_stated,not_stated,,,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,UNKNOWN,NOT_READY,fetch_failed_no_wayback,
