artifact_path,artifact_type,what_it_proves,relevance_to_p101,recovered_finding,status
docs/platform-v2/local/p97-institution-packets/ME/Cumberland/maine-medical-center-mmc.json,prior_packet,Prior P97 institution-packet system existed with rich schema (30+ fields including GME/UME/visiting-student/dept/international-office tree),Defines historical packet shape to align with,Maine Medical Center packet exists; explicit IMG exclusion at the visiting MS hub level documented,RECOVERED
docs/platform-v2/local/p97-institution-packets/ME/Cumberland/maine-track-program-tufts-mmc.json,prior_packet,Second packet in Cumberland County; documents the Maine Track Tufts-MMC longitudinal clerkship lane,Same as above,Maine Track confirmed AFFILIATED_ONLY (Tufts students only),RECOVERED
docs/platform-v2/local/usce-completeness/national-screening-scoreboard-and-queue-4/national_screening_scoreboard_by_state.csv,scoreboard,State-by-state coverage with screened_rows / ready_or_staged / active_runtime per state,Tells us which states are gap_fill_thin vs already-covered,"AR=0, AL=2, DC=1 documented as thin states",RECOVERED
docs/platform-v2/local/usce-completeness/queue-4-national-screening-resume/queue_4_candidate_rows.csv,national_queue,100-row Queue 4 national candidate list ranked with city/state/source-lead/yield/audience-hypothesis/priority,Defines the next-up institution queue without picking from memory,Ranks 26-30 are documented Session-2 territory: UAMS / UAB / MedStar Washington / GW / Howard,RECOVERED
docs/platform-v2/local/usce-completeness/queue-4-national-screening-resume/queue_4_next_10_sprint_plan.csv,sprint_plan,Documented 10-sprint plan from screening to bridge to staged to noindex slice to Session 2 to checkpoint,Tells us Session 2 was the planned next discovery sprint after Session 1 reached staged batch 4,Session 2 was never run; only Session 1 ranks 1-25 were processed,RECOVERED
docs/platform-v2/local/usce-completeness/queue-4-session-1-screening/,prior_session,Queue 4 Session 1 screening artifacts (~25 rows processed),Shows what was tried in Session 1,Only 2 rows (Vanderbilt + UCSF) made it through bridge validation to active runtime,RECOVERED
docs/platform-v2/local/usce-completeness/queue-4-session-1-curator-pass/,prior_session,Session 1 curator pass folder with html-snapshots and quotes,Shows the prior evidence-capture shape,Used HTML+Wayback+verbatim quote artifacts per row,RECOVERED
docs/platform-v2/local/usce-completeness/queue-4-session-1-evidence-hardening/,prior_session,Session 1 evidence hardening artifacts,Shows what hardening produced,Wayback notes folder exists; html-snapshots folder exists,RECOVERED
docs/platform-v2/local/usce-completeness/queue-4-session-1-bridge-validation/session_1_bridge_validated_candidates.csv,prior_session_result,Session 1 final bridge-validated rows that earned promotion to staged batch 4,Confirms which Session 1 rows succeeded,Vanderbilt + UCSF only,RECOVERED
docs/platform-v2/local/usce-completeness/staged-runtime-batch-4-promotion-candidate-audit/,prior_session,P99 staged batch 4 audit (the noindex pipeline output of Session 1),Marks where the static noindex pipeline diverged from the discovery main lane,Folded into noindex pilot; pipeline now paused/no-growth,RECOVERED_NOW_PAUSED
docs/platform-v2/local/usce-completeness/active-12-live-browser-qa/,prior_session,Active-12 live browser QA (the most recent P99 sprint),Marks last drift sprint pre-reset,12-card noindex pilot confirmed working but is no longer the goal,RECOVERED_NOW_PAUSED
