source_file,source_type,row_count_if_known,status_fields,contains_prior_screened_rows,contains_requeue_rows,contains_ready_rows,contains_evidence_paths,use_for_queue_4,notes
docs/platform-v2/local/usce-completeness/national-screening-scoreboard-and-queue-4/national_screening_queue_4_candidate_rows.csv,QUEUE_4_CANDIDATE_FILE_FROM_PRIOR_SPRINT,100,queue_4_rank;screening_priority;known_prior_status;risk;candidate_type,NO_BUT_NEW_TARGETS,NO,NO_NEEDS_SCREENING,NO_PENDING_SOURCE_CAPTURE,YES_PRIMARY_INPUT,Built by P97-NATIONAL-SCREENING-SCOREBOARD-AND-QUEUE-4 sprint; 100 rows of state-gap + AMC + public-safety-net + sibling targets
docs/platform-v2/local/usce-completeness/national-screening-scoreboard-and-queue-4/national_screening_scoreboard_coverage_gap_analysis.csv,GAP_ANALYSIS,15,gap_id;severity;queue_4_relevance,N_A,N_A,N_A,N_A,YES_FOR_GAP_TARGETING,15 named gaps including 4 zero-coverage states + AMC gaps + public-hospital gaps
docs/platform-v2/local/usce-completeness/national-screening-scoreboard-and-queue-4/national_screening_scoreboard_current_state.csv,SCOREBOARD_SNAPSHOT,N_A,N_A,N_A,N_A,N_A,N_A,YES_REFERENCE,Headline counts (373 screened / 347 sourceProofScore=5 / 25 ready / 7 staged / 5 active at the time of scoreboard build)
docs/platform-v2/local/usce-completeness/national-screening-scoreboard-and-queue-4/national_screening_scoreboard_pipeline_funnel.csv,FUNNEL,N_A,N_A,N_A,N_A,N_A,N_A,YES_REFERENCE,Quantifies the narrow-downstream funnel
docs/platform-v2/local/usce-completeness/national-screening-scoreboard-and-queue-4/P97_NATIONAL_SCREENING_SCOREBOARD_AND_QUEUE_4_REPORT.md,SCOREBOARD_REPORT,N_A,N_A,N_A,N_A,N_A,N_A,YES_REFERENCE,Original strategic checkpoint that recommended Queue 4
docs/platform-v2/local/usce-completeness/p97-promotion-batch-3-evidence-hardening-1/promotion_batch_3_evidence_hardening_1_row_status.csv,EVIDENCE_HARDENING_STATUS,12,row_id;evidence_tier_after;bridge_status_after;runtime_blocker_remaining,NO_BUT_FOLLOW_UP_TARGETS,YES_2_OR_3_TIER_A_NO_PNG_PER_SITE_MAPPING,YES_FOR_INTERNAL_USE,YES_PNG_HTML_QUOTE,N_A_FOR_QUEUE_4,Source for Mayo Saint Marys / Mayo Phoenix / NYP Columbia / NYP Cornell / Mount Sinai / HCA Aventura — historical context; Mayo + NYP + Mount Sinai are deferred Class-A candidates
docs/platform-v2/local/usce-completeness/staged-runtime-batch-3-promotion-candidate-audit/batch_3_defer_reasons.csv,DEFER_REASONS,4,defer_reason;severity;fix_required,N_A,N_A,N_A,N_A,YES_REFERENCE,Records why Jackson + Methodist San Antonio remain deferred; useful for Queue 4 do-not-repeat patterns
docs/platform-v2/local/usce-completeness/queue-4-national-screening-resume/queue_4_candidate_rows.csv,QUEUE_4_RESUME_CANDIDATE_FILE,(this sprint),queue_4_rank;screening_priority;candidate_type;risk;notes,N_A_NEW,N_A,N_A,N_A,YES_PRIMARY_OUTPUT,Mirrors the prior 100-row queue, post-Slice-2 verified
docs/platform-v2/local/usce-completeness/queue-4-national-screening-resume/queue_4_session_1_rows.csv,SESSION_1_PLAN,25,session_rank;queue_4_rank;institution_name,N_A_NEW,N_A,N_A,N_A,YES_PRIMARY_OUTPUT,Session 1 picks for the next screening sprint
src/data/usce/public-listings-pilot.generated.json,ACTIVE_RUNTIME_DATA,10,listing_id;display_bucket;audience_detail,YES_REFERENCE,N_A,N_A,N_A,YES_FOR_DEDUP,Confirms which IDs are already active; Queue 4 must not duplicate
src/data/usce/public-listings-pilot-staged-batch-3.generated.json,STAGED_RUNTIME_DATA,14,listing_id;display_bucket,YES_REFERENCE,N_A,N_A,N_A,YES_FOR_DEDUP,Confirms which IDs are staged; Queue 4 must not duplicate
T7_LANE (NOT MAC-LOCAL),HISTORICAL_CANONICAL_WORKBENCH,~347_source_proofed,sourceProofScore;HIGH_USCE_YIELD,YES,YES,YES,YES,N_A_OUT_OF_SCOPE,T7-only canonical workbench is the original source-proofed corpus; Mac-local clean-branch sprint references it but does not mutate it
