schema_version,queue_id,scope_type,scope_value,rank,institution_id,canonical_name,state,county,city,official_domain,parent_system,priority,expected_complexity,known_source_hint,prior_packet_ref,target_lanes,run_status,assigned_run_id,locked_at,completed_at,next_action,notes
p102-0r-1,p102_florida_state,BATCH_1,mayo-clinic-florida,1,inst_mayo_clinic_florida_fl,Mayo Clinic Florida,FL,Duval,Jacksonville,mayoclinic.org,Mayo Clinic,FL_P1_HIGH_YIELD_ACADEMIC,off-domain-medschool-possible,jacksonville.mayo.edu may host visiting student program,gold-4-mayo-rochester,VISITING_MEDICAL_STUDENT|IMG_OBSERVERSHIP|INTERNATIONAL_MEDICAL_STUDENT,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — academic IMG-friendly destination
p102-0r-1,p102_florida_state,BATCH_1,baptist-health-south-florida,2,inst_baptist_hospital_miami_fl,Baptist Hospital of Miami,FL,Miami-Dade,Miami,baptisthealth.net,Baptist Health South Florida,FL_P3_SYSTEM_SCOPE_TEST,system-domain-multi-campus,baptisthealth.net serves 11 hospitals (Baptist Miami / South Miami / West Kendall Baptist / Doctors / Mariners / Homestead / Fishermen's / Bethesda / Boca Raton Regional / Eugenio Litta / Baptist Outpatient),null,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — system-scope discipline test (acronym-like multi-campus brand)
p102-0r-1,p102_florida_state,BATCH_1,tampa-general-hospital,3,inst_tampa_general_hospital_fl,Tampa General Hospital,FL,Hillsborough,Tampa,tgh.org,Tampa General Hospital (USF Health affiliate),FL_P1_HIGH_YIELD_ACADEMIC,off-domain-medschool-likely-via-USF,USF Health teaching hospital — visiting student content likely at health.usf.edu/medicine,null,VISITING_MEDICAL_STUDENT|IMG_OBSERVERSHIP,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — academic / USF affiliation
p102-0r-1,p102_florida_state,BATCH_1,uf-health-shands,4,inst_uf_health_shands_fl,UF Health Shands Hospital,FL,Alachua,Gainesville,ufhealth.org,UF Health,FL_P1_HIGH_YIELD_ACADEMIC,multi-campus-shands-jax,UF Health Shands Gainesville vs UF Health Jacksonville scope ambiguity,null,VISITING_MEDICAL_STUDENT|IMG_OBSERVERSHIP|INTERNATIONAL_MEDICAL_STUDENT,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — UF flagship academic
p102-0r-1,p102_florida_state,BATCH_1,jackson-health-system,5,inst_jackson_memorial_hospital_fl,Jackson Memorial Hospital,FL,Miami-Dade,Miami,jacksonhealth.org,Jackson Health System,FL_P1_HIGH_YIELD_ACADEMIC,multi-campus-jhs-jmh-jms,Miller SOM primary teaching hospital — content may be at miami.edu medical school,null,VISITING_MEDICAL_STUDENT|IMG_OBSERVERSHIP|INTERNATIONAL_MEDICAL_STUDENT,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — Miller SOM teaching hospital
p102-0r-1,p102_florida_state,BATCH_1,mount-sinai-medical-center-miami,6,inst_mount_sinai_medical_center_miami_beach_fl,Mount Sinai Medical Center Miami Beach,FL,Miami-Dade,Miami Beach,msmc.com,Mount Sinai Medical Center,FL_P2_TEACHING_GME,single-domain-academic,Wertheim SOM (FIU) affiliate; mscm.com is single-campus,null,VISITING_MEDICAL_STUDENT|IMG_OBSERVERSHIP|CLINICAL_ELECTIVE,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — single-campus academic
p102-0r-1,p102_florida_state,BATCH_1,nicklaus-childrens-hospital,7,inst_nicklaus_childrens_hospital_fl,Nicklaus Children's Hospital,FL,Miami-Dade,Miami,nicklauschildrens.org,Nicklaus Children's Health System,FL_P2_TEACHING_GME,pediatric-academic,Pediatric teaching hospital; visiting MS / observership content varies by specialty,null,VISITING_MEDICAL_STUDENT|IMG_OBSERVERSHIP,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — pediatric academic
p102-0r-1,p102_florida_state,BATCH_1,lee-health,8,inst_lee_memorial_hospital_fl,Lee Memorial Hospital,FL,Lee,Fort Myers,leehealth.org,Lee Health,FL_P3_SYSTEM_SCOPE_TEST,system-multi-campus,Lee Health system: Lee Memorial / HealthPark / Cape Coral / Gulf Coast Medical / Golisano Children's — scope discipline test,null,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — system-scope test
p102-0r-1,p102_florida_state,BATCH_1,sarasota-memorial-hospital,9,inst_sarasota_memorial_hospital_fl,Sarasota Memorial Hospital,FL,Sarasota,Sarasota,smh.com,Sarasota Memorial Health Care System,FL_P2_TEACHING_GME,teaching-community,Community teaching hospital with growing GME; FSU/USF affiliations,null,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — teaching community hospital
p102-0r-1,p102_florida_state,BATCH_1,nemours-childrens-orlando,10,inst_nemours_childrens_orlando_fl,Nemours Children's Hospital Orlando,FL,Orange,Orlando,nemours.org,Nemours Children's Health,FL_P2_TEACHING_GME,multi-state-pediatric,Nemours.org serves Delaware Valley + FL pediatric — strong system-scope test for children's content,null,VISITING_MEDICAL_STUDENT|IMG_OBSERVERSHIP,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — pediatric multi-state system
