issue_type,description,priority_default,required_reviewer_action,evidence_required,possible_outcomes,blocks_runtime_if_confirmed,blocks_production_if_unresolved,notes
source_link_broken,Primary source URL returns 404 or has moved permanently,P2_SOURCE_LINK_OR_FEE,Re-fetch live; capture fresh Wayback if available; locate replacement URL,html_snapshot;wayback_archive;live_source,SOURCE_URL_UPDATE;NEEDS_INSTITUTION_CONFIRMATION_LATER;NEEDS_DELIST,YES if no replacement URL found,YES,Most common issue type; Wayback fallback critical
eligibility_incorrect,Audience eligibility (LCME/AOA/IMG/Caribbean/intl) on the card does not match source,P1_MATERIAL_ELIGIBILITY_OR_APPLICATION,Re-read source; compare verbatim audience language; update audience_detail and restriction_tags,html_snapshot;wayback_archive;live_source;verbatim_quote,ELIGIBILITY_CAVEAT_UPDATE;NO_CHANGE;NEEDS_DELIST,YES,YES,High-trust risk if false; senior reviewer recommended
visa_information_incorrect,Visa policy on the card (J-1/H-1B/B-1/B-2) does not match source,P1_MATERIAL_ELIGIBILITY_OR_APPLICATION,Re-read source visa-related sections; never overclaim sponsorship; preserve silence if source silent,html_snapshot;wayback_archive;verbatim_quote,ELIGIBILITY_CAVEAT_UPDATE;NO_CHANGE,YES,YES,If source is silent on J-1 or H-1B the card MUST also remain silent
cost_or_fee_incorrect,Fee/stipend amount inaccurate,P2_SOURCE_LINK_OR_FEE,Re-read source fee section; verify exact dollar amount,html_snapshot;wayback_archive;verbatim_quote,COPY_CORRECTION;NO_CHANGE,NO_BUT_VISIBLE,YES,Common between application cycles when fees update
application_process_incorrect,Application method (VSLO/email/PDF) does not match source,P1_MATERIAL_ELIGIBILITY_OR_APPLICATION,Re-read source application section,html_snapshot;wayback_archive,COPY_CORRECTION;NEEDS_INSTITUTION_CONFIRMATION_LATER,YES,YES,Wrong application method blocks user effort
program_closed,Institution has discontinued the visiting student program entirely,P0_SAFETY_OR_LEGAL,Re-fetch live; check institution news/announcements; senior review,html_snapshot;wayback_archive;live_source,DELIST_OR_HIDE;NEEDS_INSTITUTION_CONFIRMATION_LATER,YES,YES,Senior reviewer dual sign-off required for delist
duplicate_listing,The same opportunity is listed twice (e.g. system page + site-specific page) and confuses users,P3_COPY_OR_MINOR,Compare both listings; merge or de-list duplicate,bridge_draft;staged_runtime;active_runtime,COPY_CORRECTION;DELIST_OR_HIDE,NO,NO,Lincoln EM site-specific vs MOSAIC system-level is one current example
wrong_institution,The card's institution_name does not match the source organization,P1_MATERIAL_ELIGIBILITY_OR_APPLICATION,Senior review; potential delist + replacement,html_snapshot;wayback_archive,SOURCE_URL_UPDATE;DELIST_OR_HIDE,YES,YES,Indicates a P97-stage matching error
outdated_information,Card content has not been re-reviewed in 90+ days and source has changed,P3_COPY_OR_MINOR,Re-fetch live; update last_reviewed_at if no material change,html_snapshot;wayback_archive,COPY_CORRECTION;NO_CHANGE,NO,NO,Routine maintenance class
source_does_not_support_claim,Card makes a claim (e.g. specialty list) that the source does not actually support,P1_MATERIAL_ELIGIBILITY_OR_APPLICATION,Re-read source carefully; remove or scope the unsupported claim,html_snapshot;wayback_archive;verbatim_quote,COPY_CORRECTION;ELIGIBILITY_CAVEAT_UPDATE,YES,YES,High-trust risk; closely related to eligibility_incorrect
other,Unclassified user feedback,P3_COPY_OR_MINOR,Triage and reclassify if possible; otherwise close as unactionable,bridge_draft,NO_CHANGE;NEEDS_INSTITUTION_CONFIRMATION_LATER;CLOSED,NO,NO,Catch-all to ensure no submission is silently dropped
